crayfish.id,species,lifestyle,sex,clawside,carapace.length.mm,claw.length,maxclawstr.N,PC1.claw.size
CM29,c.monongalensis,burrower,f,l,31.7,21.93,18.599091,1.46E-01
CM29,c.monongalensis,burrower,f,r,31.7,22.12,23.316762,-1.33E-01
CM30,c.monongalensis,burrower,m,l,17.38,8.55,1.026018,-4.44E+00
CM30,c.monongalensis,burrower,m,r,17.38,8.77,16.838766,-4.35E+00
CM32,c.monongalensis,burrower,m,r,21.66,12.83,1.780443,-2.94E+00
CM32,c.monongalensis,burrower,m,l,21.66,12.68,4.003482,-2.99E+00
CM33,c.monongalensis,burrower,m,l,26.77,17.98,13.126995,-9.70E-01
CM33,c.monongalensis,burrower,m,r,26.77,18.04,19.534578,-9.72E-01
CM34,c.monongalensis,burrower,m,l,26.96,18.38,13.78083,-7.45E-01
CM34,c.monongalensis,burrower,m,r,26.96,15.8,16.406229,-1.79E+00
CM35,c.monongalensis,burrower,f,l,33.32,17.09,1.247316,-1.47E+00
CM35,c.monongalensis,burrower,f,r,33.32,16.98,19.383693,-1.27E+00
CM36,c.monongalensis,burrower,f,r,35.08,23.89,1.347906,1.06E+00
CM36,c.monongalensis,burrower,f,l,35.08,22.6,13.861302,2.64E-01
CM37,c.monongalensis,burrower,m,r,28.95,17.81,1.549086,-1.68E+00
CM37,c.monongalensis,burrower,m,l,28.95,20.75,11.889738,5.26E-02
CM38,c.monongalensis,burrower,m,l,19.29,10.68,3.0177,-3.41E+00
CM38,c.monongalensis,burrower,m,r,19.29,10,22.320921,-3.49E+00
CM39,c.monongalensis,burrower,m,r,25.34,15.26,1.166844,-1.54E+00
CM39,c.monongalensis,burrower,m,l,25.34,15.4,14.072541,-1.59E+00
CM40,c.monongalensis,burrower,m,r,23.94,15.04,1.730148,-1.84E+00
CM40,c.monongalensis,burrower,m,l,23.94,14.48,12.191508,-1.77E+00
CM41,c.monongalensis,burrower,m,r,27.38,20.3,3.088113,-1.43E-01
CM41,c.monongalensis,burrower,m,l,27.38,19.75,16.959474,-1.64E-01
CR01,c.robustus,nonburrower,f,r,45.26,33.11,15.571332,4.47E+00
CR01,c.robustus,nonburrower,f,l,45.26,32.95,18.900861,4.44E+00
CR02,c.robustus,nonburrower,f,r,50.93,39.5,7.624722,7.75E+00
CR02,c.robustus,nonburrower,f,l,50.93,38.85,16.99971,5.41E+00
CR03,c.robustus,nonburrower,m,r,36.17,26.65,0.814779,2.54E+00
CR03,c.robustus,nonburrower,m,l,36.17,25.85,10.833543,2.01E+00
CR04,c.robustus,nonburrower,m,l,44.81,42.18,21.687204,5.58E+00
CR04,c.robustus,nonburrower,m,r,44.81,44.8,25.610214,6.30E+00
CR05,c.robustus,nonburrower,m,r,32.84,24.85,8.892156,6.59E-01
CR05,c.robustus,nonburrower,m,l,32.84,23.62,9.002805,1.23E+00
CR06,c.robustus,nonburrower,m,r,29.98,18.89,1.30767,-5.22E-01
CR06,c.robustus,nonburrower,m,l,29.98,18.01,6.196344,-7.16E-01
CR07,c.robustus,nonburrower,f,l,26.79,16.8,4.858497,-4.22E-01
CR07,c.robustus,nonburrower,f,r,26.79,16.63,13.338234,-1.30E+00
CR08,c.robustus,nonburrower,m,r,39.77,31.44,9.063159,3.51E+00
CR08,c.robustus,nonburrower,m,l,39.77,30.68,19.081923,4.42E+00
CR09,c.robustus,nonburrower,m,l,30.89,20.9,11.105136,5.50E-01
CR09,c.robustus,nonburrower,m,r,30.89,20.35,13.760712,-3.07E-01
