lake,Date,Depth (m),Corrected_Chl_ug/l,Total_Chl_ug/l,Pheo_ug/l,NH4OPA_uM,NH4 Indol_uM,PO4_uM,NO3_uM,TDN_uM,TN_uM,TP_uM,TDP_uM,PP-ug/l,PP_uM,PN-ug/l,PN_uM,PC-ug/l,PC_uM,DOC_uM,DIC_uM,Alk_meqL,SO4_uM,Cl_uM,Ca_uM,Mg_uM,Na_uM,K_uM,Si_uM
I5,2010-07-13,5,0.92,1.14,0.41,0.08,.,0.02,.,12.7,16.35,.,0.01,.,.,50.67,3.62,340.89,28.39,456,298,0.197,.,.,100.6,29.8,6.9,6.91,12.9
I5,2010-07-13,8,1.25,1.69,0.85,0.18,.,0.03,0.04,12.5,15.75,.,0.05,.,.,46.10,3.30,367.16,30.57,450,444,0.197,.,.,100.6,29.7,7.0,7.44,17.0
I6 Headwater Lake,2010-07-13,1,0.46,0.52,0.11,0.13,.,0.03,.,11.8,13.76,.,0.03,.,.,27.82,1.99,228.76,19.05,364,953,0.925,.,.,456.5,65.7,11.3,6.80,35.4
I6 Headwater Lake,2010-07-13,5,0.70,0.81,0.21,0.09,.,0.04,.,11.4,13.81,.,0.03,.,.,33.91,2.43,271.69,22.62,365,1125,0.949,.,.,465.7,67.3,11.5,6.94,38.5
I6 Headwater Lake,2010-07-13,6,0.74,0.94,0.39,0.61,.,0.04,0.04,12.0,14.57,.,0.02,.,.,36.45,2.61,309.12,25.74,361,1242,0.986,.,.,479.3,70.1,12.0,7.23,46.3
I Swamp,2010-07-14,1,0.99,1.14,0.30,0.20,.,0.07,0.69,14.5,16.96,.,0.04,.,.,34.93,2.50,263.79,21.97,415,563,0.508,.,.,256.3,46.3,8.4,5.49,21.4
I Swamp,2010-07-14,3,1.00,1.17,0.31,0.15,.,0.05,0.68,13.0,15.58,.,0.02,.,.,35.94,2.57,270.83,22.55,411,591,0.517,.,.,255.5,46.1,8.4,5.45,21.4
I6,2010-07-14,1,0.85,0.97,0.23,0.09,.,0.03,.,13.4,15.60,.,0.01,.,.,30.87,2.21,226.01,18.82,434,412,0.384,.,.,187.6,38.2,8.0,7.14,14.8
I6,2010-07-14,5,1.61,1.81,0.39,0.14,.,0.04,0.14,12.8,15.46,.,0.05,.,.,37.98,2.72,262.07,21.82,431,512,0.383,.,.,195.5,39.3,8.0,7.28,16.3
I6,2010-07-14,12,0.69,0.94,0.49,1.66,.,0.05,0.72,14.1,18.97,.,0.04,.,.,68.45,4.89,445.63,37.11,421,671,0.415,.,.,206.2,40.5,8.5,7.78,24.1
I7,2010-07-14,1,0.83,0.93,0.20,0.10,.,0.04,0.03,11.3,13.85,.,0.01,.,.,35.44,2.53,255.72,21.30,416,433,0.403,.,.,201.4,39.2,8.1,7.17,15.9
I7,2010-07-14,5,1.42,1.64,0.41,0.09,.,0.06,0.05,11.3,14.38,.,0.04,.,.,42.55,3.04,295.21,24.58,410,534,0.385,.,.,188.0,37.1,7.7,7.48,15.8
I7,2010-07-14,10,1.61,2.09,0.93,1.46,.,0.07,0.30,15.7,19.05,.,0.06,.,.,47.12,3.37,315.30,26.26,398,758,0.462,.,.,224.1,41.3,8.2,7.99,24.8
I8,2010-07-14,1,1.85,2.11,0.49,0.19,.,0.10,0.13,17.4,21.63,.,0.05,.,.,59.44,4.25,424.29,35.33,413,779,0.751,.,.,413.7,83.0,15.8,4.96,24.2
I8,2010-07-14,5,3.05,3.54,0.95,0.23,.,0.10,0.13,13.4,18.65,.,0.04,.,.,73.66,5.26,503.51,41.93,419,857,0.703,.,.,392.4,78.7,14.4,5.05,24.1
I8,2010-07-14,7,3.41,4.26,1.65,0.15,.,0.05,0.14,13.6,19.32,.,0.03,.,.,80.43,5.75,542.66,45.19,387,935,0.680,.,.,356.7,71.0,13.5,5.98,26.9
NE 14,2010-07-15,1,.,.,.,0.12,.,.,.,7.10,.,.,0.27,.,0.14,15.70,.,186.80,.,199,1648,1.790,.,.,846.80,213.00,25.80,16.72,17.50
NE 14,2010-07-15,7,.,.,.,0.07,.,0.05,0.13,6.90,.,.,0.04,.,0.12,15.00,.,178.10,.,198,1673,1.851,.,.,856.30,215.20,26.30,17.26,18.10
NE 14,2010-07-15,12,.,.,.,0.13,.,.,0.06,7.40,.,.,0.02,.,0.18,35.70,.,337.60,.,198,1635,1.997,.,.,915.00,229.40,28.60,18.06,20.70
Toolik,2010-07-16,0,0.95,1.10,0.28,0.58,.,0.03,0.19,11.3,14.66,.,0.02,.,.,46.58,3.33,329.24,27.42,371,682,0.661,.,.,339.9,69.0,13.4,7.35,25.8
Toolik,2010-07-16,1,0.99,1.14,0.28,0.57,.,0.03,0.07,10.8,13.07,.,0.03,.,.,31.96,2.29,257.93,21.48,367,674,0.663,.,.,349.0,71.0,13.8,7.45,26.4
Toolik,2010-07-16,3,0.99,1.14,0.28,0.11,.,0.02,0.13,10.1,12.68,.,0.01,.,.,36.07,2.58,287.01,23.90,361,690,0.667,.,.,351.6,71.4,13.8,7.56,26.7
Toolik,2010-07-16,5,1.01,1.18,0.32,0.12,.,0.02,.,9.9,12.37,.,0.02,.,.,33.89,2.42,285.01,23.73,361,704,0.676,.,.,345.0,70.2,13.8,7.41,26.4
Toolik,2010-07-16,8,2.20,2.66,0.91,0.12,.,0.03,0.11,9.8,13.12,.,0.01,.,.,46.23,3.31,343.71,28.62,366,800,0.670,.,.,350.5,71.4,14.1,7.86,29.9
Toolik,2010-07-16,12,1.54,2.02,0.92,0.40,.,0.03,1.12,11.9,14.82,.,0.03,.,.,41.09,2.94,312.04,25.98,372,876,0.690,.,.,351.7,71.6,14.0,7.87,34.0
Toolik,2010-07-16,16,0.63,0.91,0.54,0.82,.,0.03,1.84,13.0,15.20,.,0.02,.,.,30.81,2.20,286.04,23.82,375,869,0.674,.,.,370.7,75.0,14.8,8.04,37.4
Toolik,2010-07-16,20,0.57,0.86,0.58,0.74,.,0.03,1.96,12.8,15.10,.,0.01,.,.,32.87,2.35,276.40,23.02,374,895,0.685,.,.,364.6,75.4,15.0,8.24,38.7
Toolik,2010-07-16,1,0.99,1.13,0.28,0.23,.,0.05,1.86,.,.,.,0.02,.,.,34.70,2.48,287.93,23.98,.,.,.,.,.,.,.,.,.,.
E 05,2010-07-19,0,5.35,6.24,1.73,0.79,.,0.03,0.24,14.0,22.28,.,0.12,.,.,116.10,8.29,927.74,77.25,432,135,0.099,.,.,50.1,17.9,9.9,6.81,27.6
E 05,2010-07-19,1,5.10,5.91,1.58,0.59,.,0.07,0.11,13.4,20.84,.,0.09,.,.,103.77,7.41,785.89,65.44,427,130,0.092,.,.,49.7,17.7,9.5,6.67,27.5
E 05,2010-07-19,3,5.33,6.10,1.49,0.19,.,0.01,0.19,11.2,19.39,.,0.07,.,.,114.05,8.15,891.94,74.27,424,133,0.093,.,.,49.5,17.7,9.6,6.68,27.3
E 05,2010-07-19,5,4.42,5.22,1.55,0.23,.,0.04,0.07,14.5,20.92,.,0.04,.,.,89.37,6.39,697.41,58.07,430,387,0.097,.,.,50.4,17.8,9.5,6.70,28.8
E 05,2010-07-19,8,1.90,2.54,1.24,0.25,.,0.06,0.14,11.2,15.57,.,0.14,.,.,61.62,4.40,526.63,43.85,439,477,0.108,.,.,52.1,18.1,9.4,6.89,40.2
E 05,2010-07-19,10,1.06,1.77,1.38,0.27,.,0.05,.,10.8,14.57,.,0.13,.,.,52.36,3.74,512.17,42.65,436,488,0.110,.,.,52.1,18.0,9.4,6.80,45.6
E 06,2010-07-19,0,2.29,2.72,0.84,0.35,.,.,0.10,13.7,22.45,.,0.13,.,.,122.27,8.73,1261.03,105.00,486,89,0.070,.,.,51.9,17.8,10.5,5.74,7.6
E 06,2010-07-19,1,2.22,2.61,0.76,0.41,.,.,0.11,13.2,20.62,.,0.16,.,.,103.77,7.41,1173.57,97.71,486,128,0.097,.,.,51.6,17.7,10.3,5.66,7.5
E 06,2010-07-19,2,2.39,2.83,0.85,0.84,.,0.01,0.06,14.3,22.89,.,0.14,.,.,120.22,8.59,1256.21,104.59,487,45,0.097,.,.,52.2,17.8,10.6,5.84,7.6
S 11,2010-07-21,0,1.07,1.15,0.15,0.15,.,0.04,0.01,13.4,16.95,.,0.14,.,.,49.78,3.56,486.09,40.48,377,2175,2.156,.,.,942.6,263.4,26.7,13.73,17.6
S 11,2010-07-21,1,1.29,1.39,0.19,0.13,.,0.04,.,13.0,17.15,.,0.14,.,.,57.54,4.11,534.63,44.52,379,2177,2.159,.,.,938.3,262.5,26.7,13.64,17.5
S 11,2010-07-21,3,1.28,1.38,0.19,0.20,.,0.05,.,12.8,17.12,.,0.12,.,.,60.11,4.30,525.16,43.73,373,2181,2.162,.,.,941.6,263.1,26.7,13.74,17.5
S 11,2010-07-21,5,1.78,1.95,0.31,0.18,.,0.05,.,15.4,19.48,.,0.13,.,.,57.54,4.11,532.22,44.32,427,3065,2.905,.,.,1260.1,346.8,36.3,17.63,31.2
S 11,2010-07-21,8,2.09,2.33,0.45,2.54,.,0.05,.,20.6,24.58,.,0.11,.,.,55.47,3.97,419.03,34.89,723,3992,3.445,.,.,1496.9,404.5,43.8,21.78,58.6
S 11,2010-07-21,10,3.57,5.22,3.22,6.28,.,0.06,.,24.0,34.25,.,0.07,.,.,143.84,10.27,976.24,81.28,652,4002,3.562,.,.,1541.4,414.7,45.6,22.75,74.3
S 06,2010-07-21,0,0.64,0.73,0.16,0.53,.,0.04,.,10.3,13.55,.,0.05,.,.,45.66,3.26,367.04,30.56,330,2164,2.162,.,.,996.7,226.0,43.3,8.17,37.7
S 06,2010-07-21,1,0.67,0.74,0.15,0.26,.,0.02,.,10.6,13.77,.,0.04,.,.,44.29,3.17,353.73,29.46,401,2168,2.165,.,.,1012.2,227.7,43.7,8.18,38.2
S 06,2010-07-21,3,0.75,0.79,0.07,0.37,.,0.04,.,9.7,12.48,.,0.02,.,.,39.27,2.81,340.72,28.37,335,2168,2.164,.,.,1024.2,228.4,43.9,8.12,38.4
S 06,2010-07-21,5,0.70,0.78,0.16,0.22,.,0.02,0.15,9.7,12.99,.,0.02,.,.,46.12,3.30,394.58,32.86,406,2181,2.176,.,.,1008.8,226.7,43.4,7.93,38.3
S 06,2010-07-21,7,1.66,2.09,0.83,0.24,.,0.04,.,10.9,15.38,.,0.01,.,.,63.03,4.50,523.43,43.58,419,2218,2.202,.,.,1034.4,230.9,44.4,8.28,38.7
S 07,2010-07-21,0,0.29,0.33,0.08,0.42,.,0.04,1.69,12.2,14.09,.,0.01,.,.,26.02,1.86,220.44,18.36,422,2318,2.293,.,.,1071.5,234.6,45.3,5.57,46.0
S 07,2010-07-21,1,0.31,0.36,0.08,0.38,.,0.05,1.80,10.7,14.64,.,0.01,.,.,55.72,3.98,386.32,32.17,370,2318,2.289,.,.,1062.5,234.1,44.8,5.09,46.3
S 07,2010-07-21,2,0.30,0.35,0.09,0.31,.,0.04,2.44,11.2,14.71,.,.,.,.,49.78,3.56,357.25,29.75,399,2351,2.310,.,.,1083.2,234.2,45.6,5.04,48.2
Field Blank,2010-07-22,.,.,0.01,0.01,0.06,.,0.02,0.11,7.50,7.54,.,.,.,.,0.43,0.04,45.39,3.78,61,.,1.680,.,.,.,.,.,.,.
NE 14,2010-07-22,1,.,.,.,0.84,.,0.12,0.03,9.50,.,.,0.12,.,0.16,29.30,.,241.90,.,206,882,1.810,.,.,852.90,221.80,26.70,16.98,17.80
NE 14,2010-07-22,10,.,.,.,0.19,.,.,0.01,7.70,.,.,0.05,.,0.13,21.10,.,191.40,.,201,1731,1.927,.,.,905.90,228.60,28.30,17.94,18.30
NE 14,2010-07-22,16,.,.,.,0.58,.,0.01,0.05,7.80,.,.,0.05,.,0.15,39.00,.,280.90,.,197,1156,2.114,.,.,996.70,253.60,31.50,19.15,25.10
NE 9B,2010-07-22,0,0.92,1.04,0.24,0.61,.,0.01,0.27,15.1,18.41,.,0.08,.,.,45.72,3.27,351.98,29.31,529,2038,2.011,.,.,946.1,263.4,26.7,10.01,19.7
NE 9B,2010-07-22,1,0.87,0.99,0.22,0.63,.,0.02,0.16,14.5,17.56,.,0.03,.,.,42.63,3.05,319.61,26.62,424,2042,2.011,.,.,941.9,265.0,26.8,9.93,19.7
NE 9B,2010-07-22,3,1.04,1.18,0.28,0.56,.,0.03,0.46,15.0,17.76,.,0.05,.,.,38.52,2.75,317.72,26.46,509,2046,2.009,.,.,931.5,263.2,26.6,10.09,20.4
NE 9B,2010-07-22,5,1.68,2.34,1.26,1.39,.,0.07,0.61,19.1,23.41,.,0.10,.,.,60.63,4.33,464.74,38.70,533,3555,3.210,.,.,1445.1,398.7,45.4,13.18,76.0
Toolik,2010-07-23,0,0.89,1.03,0.26,0.69,.,0.01,0.12,10.4,13.06,.,.,.,.,37.90,2.71,311.95,25.98,362,698,0.672,.,.,351.9,71.4,14.0,7.48,26.6
Toolik,2010-07-23,1,0.93,1.07,0.28,0.46,.,0.02,0.18,9.9,12.81,.,.,.,.,40.18,2.87,303.69,25.29,357,702,0.673,.,.,351.6,71.5,14.1,7.37,26.7
Toolik,2010-07-23,3,0.92,1.05,0.25,0.20,.,0.02,0.11,9.5,13.10,.,.,.,.,49.78,3.56,374.38,31.18,359,712,0.683,.,.,356.8,72.7,14.5,7.62,27.1
Toolik,2010-07-23,5,0.94,1.07,0.26,0.11,.,0.03,0.13,10.1,13.09,.,.,.,.,41.55,2.97,312.56,26.03,366,709,0.680,.,.,361.1,73.5,14.4,7.51,27.5
Toolik,2010-07-23,8,1.45,1.72,0.51,0.20,.,0.02,0.30,10.4,13.68,.,.,.,.,45.66,3.26,330.01,27.48,362,788,0.681,.,.,349.0,70.9,14.1,7.82,28.5
Toolik,2010-07-23,12,1.69,2.04,0.67,0.32,.,0.02,0.61,10.8,13.88,.,.,.,.,42.92,3.07,312.26,26.00,372,843,0.659,.,.,359.8,72.6,14.5,8.19,33.2
Toolik,2010-07-23,16,0.84,1.13,0.57,0.68,.,0.03,1.57,12.0,14.28,.,.,.,.,31.96,2.29,279.97,23.31,369,881,0.672,.,.,366.1,74.2,14.7,8.11,36.7
Toolik,2010-07-23,19,0.66,0.94,0.53,0.85,.,0.03,1.84,13.5,16.45,.,.,.,.,41.09,2.94,325.73,27.12,372,912,0.683,.,.,361.7,74.1,14.8,8.08,37.7
Toolik,2010-07-23,1,0.89,1.02,0.25,0.34,.,0.02,0.11,.,.,.,.,.,.,35.16,2.51,278.90,23.23,.,.,.,.,.,.,.,.,.,.
Fog 02,2010-07-26,0,0.38,0.41,0.06,0.36,.,0.04,0.07,9.8,11.14,.,0.05,.,.,19.16,1.37,200.24,16.68,279,1427,1.414,.,.,664.9,121.0,31.0,10.10,22.8
Fog 02,2010-07-26,1,0.36,0.40,0.07,0.58,.,0.03,.,10.6,12.30,.,0.07,.,.,24.19,1.73,214.63,17.87,275,1415,1.402,.,.,666.7,121.0,30.8,10.08,22.8
Fog 02,2010-07-26,3,0.39,0.43,0.07,0.12,.,0.02,.,9.6,11.18,.,0.07,.,.,22.82,1.63,245.08,20.41,275,1420,1.408,.,.,660.6,120.3,30.7,10.01,22.7
Fog 02,2010-07-26,5,0.41,0.43,0.04,0.10,.,0.04,.,9.7,11.65,.,0.03,.,.,27.84,1.99,239.57,19.95,275,1418,1.406,.,.,660.6,120.5,30.2,10.04,22.7
Fog 02,2010-07-26,8,0.84,0.92,0.15,0.19,.,0.03,0.07,11.0,13.43,.,0.02,.,.,33.78,2.42,276.45,23.02,285,1557,1.507,.,.,706.1,127.9,33.1,11.05,27.0
Fog 02,2010-07-26,12,1.90,2.07,0.33,1.17,.,0.03,0.19,11.9,14.92,.,0.06,.,.,42.47,3.04,356.48,29.68,289,2008,1.713,.,.,804.8,143.6,37.9,12.98,51.8
Fog 02,2010-07-26,16,1.53,1.66,0.26,8.28,.,0.04,0.92,18.2,20.89,.,0.05,.,.,38.01,2.72,308.77,25.71,281,2165,1.759,.,.,826.5,146.2,38.8,13.89,69.3
Fog 04,2010-07-26,0,2.73,2.93,0.39,0.45,.,0.04,0.06,20.5,27.70,.,0.17,.,.,100.71,7.19,903.12,75.20,545,1016,0.996,.,.,493.7,103.3,25.5,8.69,28.6
Fog 04,2010-07-26,1,2.81,2.86,0.09,0.15,.,0.05,.,18.0,24.34,.,0.15,.,.,89.06,6.36,865.25,72.04,538,1016,0.995,.,.,504.6,104.1,25.4,8.75,28.9
Fog 04,2010-07-26,3,3.91,4.41,0.96,0.21,.,0.05,.,18.9,26.60,.,0.18,.,.,107.56,7.68,949.94,79.10,547,1064,0.991,.,.,500.9,103.8,25.3,8.69,31.5
E 05,2010-07-28,0,5.12,5.70,1.12,0.44,.,0.07,0.08,12.4,19.55,.,0.13,.,.,100.68,7.19,779.70,64.92,445,111,0.093,.,.,50.6,17.6,9.7,6.33,27.6
E 05,2010-07-28,1,5.63,6.25,1.21,0.59,.,0.07,0.23,12.0,20.18,.,0.09,.,.,114.05,8.15,891.59,74.24,444,112,0.091,.,.,49.9,17.6,9.4,6.29,27.4
E 05,2010-07-28,3,5.29,5.87,1.13,0.23,.,0.05,0.29,11.4,19.08,.,0.10,.,.,107.88,7.71,841.32,70.05,442,123,0.097,.,.,49.6,17.5,9.5,6.25,27.5
E 05,2010-07-28,5,4.70,5.45,1.46,0.25,.,0.05,0.16,10.6,17.29,.,0.09,.,.,93.49,6.68,705.33,58.73,439,185,0.093,.,.,50.0,17.6,9.6,6.27,27.5
E 05,2010-07-28,8,2.37,3.09,1.39,0.34,.,0.07,0.03,11.1,16.28,.,0.13,.,.,71.90,5.14,564.51,47.00,432,493,0.109,.,.,51.7,18.0,9.4,6.80,41.6
E 05,2010-07-28,10,1.50,2.17,1.30,0.31,.,0.09,0.17,11.1,17.58,.,0.15,.,.,90.40,6.46,739.41,61.57,432,500,0.112,.,.,52.1,17.9,9.4,6.84,45.2
E 06,2010-07-28,0,2.81,3.08,0.51,0.40,.,0.04,0.11,15.0,22.55,.,0.15,.,.,105.82,7.56,978.36,81.46,507,119,0.094,.,.,52.7,18.0,10.9,5.16,11.6
E 06,2010-07-28,1,2.81,3.31,0.97,0.29,.,0.04,0.17,14.0,23.19,.,0.15,.,.,129.47,9.25,1534.40,127.76,506,122,0.094,.,.,53.0,18.1,10.8,5.16,11.7
E 06,2010-07-28,2,2.71,2.99,0.55,0.27,.,0.04,0.09,.,.,.,0.16,.,.,109.94,7.85,991.44,82.55,.,122,0.092,.,.,52.8,18.1,10.7,5.11,11.7
NE 14,2010-07-29,1,.,.,.,0.15,.,0.06,0.08,7.10,.,.,0.10,.,0.15,12.20,.,109.20,.,198,1484,1.808,.,.,868.90,218.90,26.70,17.32,17.10
NE 14,2010-07-29,8,.,.,.,0.31,.,0.05,0.01,7.30,.,.,0.06,.,0.14,17.50,.,148.80,.,194,1624,1.862,.,.,870.90,224.30,27.60,17.61,17.50
NE 14,2010-07-29,14,.,.,.,0.20,.,0.05,0.16,6.80,.,.,0.07,.,0.20,18.70,.,140.90,.,195,1166,2.067,.,.,977.50,249.80,30.60,18.75,23.00
Toolik,2010-07-30,0,1.10,1.23,0.24,0.29,.,0.01,0.11,11.0,14.02,.,.,.,.,42.01,3.00,306.29,25.51,366,721,0.694,.,.,355.4,72.6,14.3,7.08,26.5
Toolik,2010-07-30,1,1.16,1.27,0.22,0.34,.,.,0.09,10.4,14.85,.,.,.,.,62.11,4.44,415.39,34.59,363,719,0.691,.,.,357.7,71.2,14.0,7.11,26.1
Toolik,2010-07-30,3,1.23,1.33,0.19,0.19,.,0.02,0.09,9.8,12.84,.,.,.,.,42.01,3.00,310.11,25.82,361,720,0.692,.,.,371.3,75.3,14.9,7.43,27.6
Toolik,2010-07-30,5,1.00,1.09,0.17,0.15,.,0.02,0.12,10.4,13.14,.,.,.,.,38.81,2.78,296.34,24.68,360,715,0.684,.,.,361.0,74.4,14.5,7.19,27.6
Toolik,2010-07-30,8,1.34,1.49,0.30,0.37,.,0.02,0.13,11.0,13.65,.,.,.,.,37.44,2.68,282.72,23.54,362,729,0.657,.,.,360.5,74.5,14.5,7.42,28.4
Toolik,2010-07-30,12,1.30,1.58,0.54,0.41,.,0.03,0.92,11.0,13.96,.,.,.,.,41.55,2.97,291.60,24.28,367,865,0.670,.,.,358.7,72.5,14.3,7.99,34.1
Toolik,2010-07-30,16,0.72,0.99,0.51,0.76,.,0.03,1.76,12.3,14.49,.,.,.,.,30.59,2.19,250.74,20.88,368,898,0.674,.,.,358.1,72.4,14.4,7.83,36.7
Toolik,2010-07-30,20,0.64,0.91,0.52,0.86,.,0.04,1.87,12.9,15.07,.,.,.,.,30.59,2.19,262.68,21.87,368,922,0.683,.,.,383.1,78.5,16.0,8.58,40.3
Toolik,2010-07-30,1,1.19,1.29,0.19,0.12,.,.,0.06,.,.,.,.,.,.,49.78,3.56,352.20,29.33,.,.,.,.,.,.,.,.,.,.
N 01,2010-08-02,0,1.17,1.30,0.26,0.22,.,0.05,0.60,14.1,18.24,.,0.08,.,.,58.05,4.15,385.20,32.08,394,1176,1.161,.,.,540.9,105.4,11.2,11.29,25.7
N 01,2010-08-02,1,1.22,1.36,0.26,0.08,.,0.02,0.46,13.2,17.21,.,0.09,.,.,55.79,3.99,382.74,31.87,395,1176,1.160,.,.,545.6,105.4,11.1,11.31,25.7
N 01,2010-08-02,3,1.45,1.60,0.28,0.17,.,0.02,0.34,12.8,16.65,.,0.11,.,.,54.43,3.89,377.52,31.44,386,1174,1.158,.,.,533.9,105.1,11.2,11.39,25.7
N 01,2010-08-02,5,2.20,2.40,0.39,0.05,.,0.01,.,13.5,17.93,.,0.06,.,.,62.57,4.47,425.59,35.44,389,1200,1.166,.,.,543.6,106.3,11.4,11.44,26.2
N 01,2010-08-02,8,4.08,4.63,1.07,0.11,.,0.02,0.25,14.9,20.10,.,0.03,.,.,72.51,5.18,453.70,37.78,422,1692,1.508,.,.,713.0,137.2,15.0,13.78,41.2
N 01,2010-08-02,11,3.72,4.25,1.03,0.13,.,0.02,0.15,14.1,19.10,.,0.06,.,.,69.80,4.99,442.02,36.81,407,2093,1.623,.,.,744.1,143.8,15.7,14.28,58.6
N 02 Fert,2010-08-02,0,0.54,0.60,0.13,0.18,.,0.04,0.20,12.9,14.79,.,0.07,.,.,26.02,1.86,210.65,17.54,410,1720,1.701,.,.,796.1,158.1,16.9,8.43,23.6
N 02 Fert,2010-08-02,1,0.51,0.58,0.13,0.13,.,0.05,0.25,11.9,13.55,.,0.12,.,.,23.28,1.67,212.79,17.72,401,1725,1.707,.,.,807.7,157.6,16.7,8.39,23.6
N 02 Fert,2010-08-02,3,0.56,0.62,0.12,0.16,.,0.03,0.20,12.2,13.77,.,0.14,.,.,21.90,1.57,205.29,17.10,399,1723,1.699,.,.,795.5,158.0,17.1,8.39,23.5
N 02 Fert,2010-08-02,5,1.38,1.51,0.26,0.13,.,0.04,0.27,13.7,16.27,.,0.07,.,.,36.07,2.58,281.04,23.40,435,2198,2.054,.,.,971.6,189.7,20.7,9.90,29.6
N 02 Fert,2010-08-02,8,1.12,1.33,0.41,1.83,.,0.05,1.30,16.5,19.39,.,0.06,.,.,40.18,2.87,309.50,25.77,451,2843,2.417,.,.,1105.4,214.5,24.8,11.70,65.3
N 02 Ref,2010-08-02,0,0.53,0.60,0.13,0.09,.,0.02,0.23,14.0,15.70,.,0.18,.,.,23.28,1.67,198.87,16.56,416,1722,1.701,.,.,810.4,160.0,18.0,8.81,23.7
N 02 Ref,2010-08-02,1,0.54,0.59,0.08,0.22,.,0.02,0.33,12.2,14.03,.,0.08,.,.,25.56,1.83,201.77,16.80,405,1712,1.692,.,.,806.6,159.1,17.2,8.53,23.4
N 02 Ref,2010-08-02,3,0.57,0.66,0.16,0.11,.,0.03,0.18,11.9,13.72,.,0.11,.,.,25.56,1.83,217.54,18.12,401,1733,1.705,.,.,805.0,157.1,16.6,8.38,23.4
N 02 Ref,2010-08-02,5,0.98,1.13,0.29,0.13,.,0.05,0.22,14.2,17.00,.,0.13,.,.,39.72,2.84,299.10,24.91,437,2051,1.910,.,.,912.0,177.5,19.3,9.23,27.4
N 02 Ref,2010-08-02,6,1.28,1.47,0.36,0.58,.,0.06,0.28,14.3,17.27,.,0.11,.,.,42.01,3.00,333.99,27.81,443,2607,2.265,.,.,1067.4,205.7,23.3,10.95,46.9
E 01,2010-08-04,0,0.97,1.05,0.16,0.58,.,0.08,0.22,16.4,20.40,.,.,.,.,55.64,3.98,362.86,30.22,374,827,0.794,.,.,383.8,77.2,19.4,5.12,31.7
E 01,2010-08-04,1,0.97,1.05,0.16,0.24,.,0.03,0.08,11.4,15.40,.,.,.,.,56.66,4.05,375.13,31.24,399,825,0.789,.,.,385.8,77.5,19.3,5.05,32.0
E 01,2010-08-04,3,1.09,1.21,0.23,0.25,.,0.03,0.41,10.5,14.31,.,.,.,.,53.61,3.83,357.85,29.80,402,859,0.793,.,.,386.1,77.5,19.6,4.55,33.3
E 01,2010-08-04,5,1.56,1.71,0.30,0.22,.,0.03,0.42,12.3,16.20,.,.,.,.,54.11,3.87,372.36,31.01,409,902,0.799,.,.,381.2,77.8,19.7,4.61,33.0
E 01,2010-08-04,8,3.11,3.44,0.64,0.96,.,0.04,0.39,10.6,14.83,.,.,.,.,59.52,4.25,427.73,35.62,364,1427,0.931,.,.,449.6,90.6,22.5,5.64,54.8
E 01,2010-08-04,10,1.46,1.51,.,5.38,.,0.04,1.50,15.8,18.34,.,.,.,.,35.11,2.51,224.94,18.73,339,1676,1.069,.,.,518.4,103.9,26.0,6.37,86.2
Toolik,2010-08-05,0,0.97,1.08,0.21,0.58,.,.,0.19,11.9,14.59,.,.,.,.,37.44,2.68,279.51,23.28,378,730,0.709,.,.,356.9,70.5,14.1,6.64,26.1
Toolik,2010-08-05,1,1.01,1.12,0.20,0.33,.,.,0.13,11.3,13.95,.,.,.,.,36.98,2.65,293.74,24.46,381,731,0.708,.,.,356.8,70.7,14.0,6.63,25.9
Toolik,2010-08-05,3,1.05,1.17,0.23,0.15,.,.,0.26,11.6,14.26,.,.,.,.,37.90,2.71,285.32,23.76,379,721,0.695,.,.,367.0,76.4,14.7,6.78,28.7
Toolik,2010-08-05,5,1.23,1.40,0.32,0.18,.,.,0.18,11.3,14.30,.,.,.,.,41.55,2.97,294.66,24.54,392,736,0.701,.,.,384.3,77.3,15.2,6.80,29.9
Toolik,2010-08-05,8,1.16,1.59,0.84,0.17,.,.,0.06,10.8,13.50,.,.,.,.,38.35,2.74,272.93,22.73,376,759,0.689,.,.,367.3,76.1,14.8,7.28,29.3
Toolik,2010-08-05,12,1.23,1.48,0.48,0.32,.,0.05,0.98,11.8,15.03,.,.,.,.,45.21,3.23,306.44,25.52,371,870,0.681,.,.,343.4,68.1,13.7,7.49,31.5
Toolik,2010-08-05,16,0.65,0.90,0.48,0.81,.,0.01,1.80,12.9,15.32,.,.,.,.,33.33,2.38,249.67,20.79,376,918,0.702,.,.,372.5,75.8,15.4,8.32,38.9
Toolik,2010-08-05,20,0.67,0.94,0.52,0.86,.,0.02,1.95,13.1,15.67,.,.,.,.,36.07,2.58,274.77,22.88,372,915,0.695,.,.,361.2,70.7,14.6,7.82,36.6
Toolik,2010-08-05,1,0.97,1.08,0.20,0.31,.,.,0.16,.,.,.,.,.,.,63.94,4.57,414.93,34.55,.,.,.,.,.,.,.,.,.,.
E 05,2010-08-06,0,7.17,7.82,1.25,0.43,.,0.05,0.21,15.3,23.56,.,.,.,.,115.08,8.22,845.46,70.40,540,114,0.093,.,.,50.6,17.8,9.5,6.05,28.4
E 05,2010-08-06,1,6.79,7.43,1.23,0.22,.,0.05,0.76,14.5,22.75,.,.,.,.,115.08,8.22,834.44,69.48,522,119,0.096,.,.,50.8,17.8,9.4,5.97,28.2
