lake,date,depth_m,corrected_chl_ug_l,total_chl_ug_l,pheo_ug_l,po4_u_m,no3_u_m,tdn_u_m,tn_u_m,tp_u_m,tdp_u_m,pp_ug_l,pn_ug_l,pc_ug_l,alk_meq_l
Toolik,2016-07-15T00:00:00Z,12,0.91,1.11,0.4,0.04,1.11,12.9,NA,NA,NA,NA,NA,NA,0.777
Toolik,2016-07-15T00:00:00Z,16,0.69,0.95,0.51,0.03,1.6,12.1,NA,NA,0.05,NA,NA,NA,NA
Toolik,2016-07-15T00:00:00Z,20,0.61,0.82,0.42,0.02,1.65,13.9,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-07-22T00:00:00Z,0,1.17,1.41,0.48,0.03,0.04,12.8,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-07-22T00:00:00Z,1,1.06,1.34,0.54,0.03,0,13.1,NA,NA,NA,NA,NA,NA,0.76
Toolik,2016-07-22T00:00:00Z,1,0.04,0.78,1.43,0.03,0,13.1,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-07-22T00:00:00Z,3,1.04,1.21,0.33,0.03,0.01,11.2,NA,NA,NA,NA,NA,NA,0.762
Toolik,2016-07-22T00:00:00Z,5,1.04,1.13,0.18,0.03,0,13.4,NA,NA,NA,NA,NA,NA,0.758
Toolik,2016-07-22T00:00:00Z,8,2.36,2.76,0.76,0.03,0.03,13.8,NA,NA,0.05,NA,NA,NA,0.742
Toolik,2016-07-22T00:00:00Z,12,0.97,1.2,0.44,0.03,0.78,13.5,NA,NA,NA,NA,NA,NA,0.759
Toolik,2016-07-22T00:00:00Z,16,0.79,0.92,0.26,0.03,1.31,12.8,NA,NA,0.03,NA,NA,NA,NA
Toolik,2016-07-22T00:00:00Z,20,0.1,0.62,1,0.04,1.55,12.3,NA,NA,0.05,NA,NA,NA,NA
Fog 01,2016-07-26T00:00:00Z,1,0.9,0.94,0.07,0.08,0.02,15.97,NA,NA,0.07,2.86,40.67,354.46,1.304
Fog 01,2016-07-26T00:00:00Z,3,1.03,1,0,0.05,0.01,15.43,NA,NA,0.09,4.2,34.24,315.98,NA
Fog 01,2016-07-26T00:00:00Z,7,0.99,1.1,0.22,0.05,0.02,14.95,NA,NA,0.07,3.26,31.82,269.19,1.323
Fog 01,2016-07-26T00:00:00Z,16,1.04,1.48,0.85,0.06,0.23,13.42,NA,NA,0.09,8.86,45.69,290.22,NA
Fog 05,2016-07-26T00:00:00Z,1,0.97,1.1,0.24,0.05,0.07,18.11,NA,NA,0.09,3.68,30.26,190.72,0.87
Fog 05,2016-07-26T00:00:00Z,3,0.77,0.85,0.16,0.07,0.06,19,NA,NA,0.1,4.8,40.53,247.33,NA
Fog 05,2016-07-26T00:00:00Z,4,0.88,1.02,0.25,0.05,0.42,16.55,NA,NA,0.1,5.96,42.07,255.18,0.83
Fog 05,2016-07-26T00:00:00Z,8,0.54,0.89,0.67,0.06,0.46,17.12,NA,NA,0.11,8.86,30.8,255.74,NA
Fog 02,2016-07-27T00:00:00Z,1,0.38,0.44,0.1,0.05,0.05,9.63,NA,NA,0.12,3.43,27.42,243.45,1.32
Fog 02,2016-07-27T00:00:00Z,3,0.49,0.53,0.08,0.05,0.07,10.71,NA,NA,0.04,2.96,24.96,204.76,NA
Fog 02,2016-07-27T00:00:00Z,7,0.52,0.6,0.16,0.05,0.09,9.88,NA,NA,0.08,4.28,42.23,320.24,1.317
Fog 02,2016-07-27T00:00:00Z,16,1.06,1.26,0.38,0.08,1.02,13.71,NA,NA,0.07,8.41,51.72,319.77,NA
Fog 03,2016-07-27T00:00:00Z,1,0.69,0.76,0.13,0.06,0.06,16.45,NA,NA,0.1,5.42,52.64,351.58,0.914
Fog 03,2016-07-27T00:00:00Z,3,0.49,0.58,0.16,0.05,0.06,13.97,NA,NA,0.07,3.43,38.48,300.35,NA
Fog 03,2016-07-27T00:00:00Z,8,0.74,0.79,0.1,0.05,0.07,15.08,NA,NA,0.07,4.63,36.61,277.36,0.916
Fog 03,2016-07-27T00:00:00Z,16,0.37,0.49,0.21,0.06,0.9,16.93,NA,NA,0.09,5.59,30.54,243.8,NA
Toolik,2016-07-29T00:00:00Z,0,1.42,1.45,0.06,0.05,0.04,11.1,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-07-29T00:00:00Z,1,1.32,1.46,0.26,0.05,0,13.4,NA,NA,NA,NA,NA,NA,0.764
Toolik,2016-07-29T00:00:00Z,1,1.36,1.51,0.29,0.05,0,13.4,NA,NA,0.16,NA,NA,NA,NA
Toolik,2016-07-29T00:00:00Z,3,1.4,1.45,0.09,0.05,0.03,10.3,NA,NA,NA,NA,NA,NA,0.76
Toolik,2016-07-29T00:00:00Z,5,1.46,1.6,0.27,0.05,0,12.2,NA,NA,NA,NA,NA,NA,0.766
Toolik,2016-07-29T00:00:00Z,8,1.28,1.44,0.31,0.05,0.03,14.8,NA,NA,NA,NA,NA,NA,0.757
Toolik,2016-07-29T00:00:00Z,12,1.12,1.33,0.4,0.05,0.92,12.6,NA,NA,NA,NA,NA,NA,0.766
Toolik,2016-07-29T00:00:00Z,16,0.83,0.97,0.28,0.05,1.31,16.3,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-07-29T00:00:00Z,20,0.57,0.75,0.34,0.05,1.65,16.2,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-08-05T00:00:00Z,0,1.13,1.22,0.18,0.05,0,11.9,NA,NA,0.07,NA,NA,NA,NA
Toolik,2016-08-05T00:00:00Z,1,1.07,1.22,0.28,0.05,0,10.7,NA,NA,NA,NA,NA,NA,0.784
Toolik,2016-08-05T00:00:00Z,1,1.08,1.23,0.3,0.05,0,10.7,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-08-05T00:00:00Z,3,1.05,1.21,0.32,0.06,0.04,10.4,NA,NA,NA,NA,NA,NA,0.797
Toolik,2016-08-05T00:00:00Z,5,1.11,1.29,0.35,0.05,0,10.4,NA,NA,0.04,NA,NA,NA,0.792
Toolik,2016-08-05T00:00:00Z,8,0.92,1.07,0.28,0.05,0.06,11,NA,NA,NA,NA,NA,NA,0.779
Toolik,2016-08-05T00:00:00Z,12,0.83,1.04,0.41,0.05,1.33,14.7,NA,NA,0.04,NA,NA,NA,0.771
Toolik,2016-08-05T00:00:00Z,16,0.63,0.81,0.34,0.06,1.5,15.7,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-08-05T00:00:00Z,20,0.77,0.93,0.31,0.05,1.82,12.9,NA,NA,0.04,NA,NA,NA,NA
I1,2016-08-09T00:00:00Z,1,0.92,1.06,0.26,0.05,0.04,13.1,NA,NA,NA,NA,NA,NA,0.238
I1,2016-08-09T00:00:00Z,5,0.99,1.06,0.14,0.05,0.03,12.5,NA,NA,NA,NA,NA,NA,0.258
I1,2016-08-09T00:00:00Z,9,0.87,1.02,0.29,0.05,0.03,14.8,NA,NA,0.05,NA,NA,NA,NA
I2,2016-08-09T00:00:00Z,1,0.99,1.15,0.29,0.05,0.29,16.4,NA,NA,NA,NA,NA,NA,0.191
I2,2016-08-09T00:00:00Z,8,0.35,0.48,0.26,0.07,1.08,14.6,NA,NA,NA,NA,NA,NA,0.192
I2,2016-08-09T00:00:00Z,14,0.16,0.26,0.2,0.05,1.68,14.8,NA,NA,NA,NA,NA,NA,NA
I3,2016-08-09T00:00:00Z,1,1.07,1.26,0.37,0.05,0.03,14.5,NA,NA,NA,NA,NA,NA,0.225
I3,2016-08-09T00:00:00Z,4,1.05,1.28,0.45,0.05,0.04,16.3,NA,NA,NA,NA,NA,NA,0.221
I4,2016-08-09T00:00:00Z,1,1.65,1.95,0.57,0.05,0.04,16.5,NA,NA,NA,NA,NA,NA,0.198
I4,2016-08-09T00:00:00Z,3,1.37,1.66,0.55,0.05,0.05,15.7,NA,NA,NA,NA,NA,NA,0.2
I4,2016-08-09T00:00:00Z,6,1.42,1.78,0.69,0.06,0.07,19.2,NA,NA,NA,NA,NA,NA,NA
I5,2016-08-09T00:00:00Z,1,0.83,1,0.35,0.05,0.07,15.9,NA,NA,0.06,NA,NA,NA,NA
I5,2016-08-09T00:00:00Z,4,0.8,1,0.39,0.04,0.04,14.9,NA,NA,NA,NA,NA,NA,0.177
I5,2016-08-09T00:00:00Z,8,0.62,0.83,0.41,0.04,0.05,16.3,NA,NA,NA,NA,NA,NA,NA
I6,2016-08-09T00:00:00Z,1,1.54,1.74,0.38,0.05,0.04,12.8,NA,NA,NA,NA,NA,NA,0.971
I6,2016-08-09T00:00:00Z,5,0.85,1.04,0.37,0.05,0.05,14.2,NA,NA,NA,NA,NA,NA,0.966
I6,2016-08-09T00:00:00Z,6,0.52,0.9,0.73,0.05,0.06,14.8,NA,NA,NA,NA,NA,NA,NA
I6,2016-08-10T00:00:00Z,1,0.59,0.66,0.15,0.05,0.04,12.4,NA,NA,NA,NA,NA,NA,0.369
I6,2016-08-10T00:00:00Z,7,0.45,0.55,0.19,0.05,0.17,11.8,NA,NA,NA,NA,NA,NA,NA
I6,2016-08-10T00:00:00Z,12,0.43,0.59,0.32,0.05,0.39,14.2,NA,NA,NA,NA,NA,NA,NA
I7,2016-08-10T00:00:00Z,1,1.22,1.48,0.52,0.05,0.04,12.8,NA,NA,0.04,NA,NA,NA,0.427
I7,2016-08-10T00:00:00Z,5,1.15,1.37,0.42,0.05,0.03,13.5,NA,NA,NA,NA,NA,NA,0.431
I7,2016-08-10T00:00:00Z,10,0.3,0.53,0.46,0.06,0.77,17.3,NA,NA,0.03,NA,NA,NA,NA
I8,2016-08-10T00:00:00Z,1,2.05,2.41,0.69,0.06,0.57,14.7,NA,NA,NA,NA,NA,NA,0.976
I8,2016-08-10T00:00:00Z,4,2.09,2.56,0.92,0.09,0.58,15.9,NA,NA,NA,NA,NA,NA,0.972
I8,2016-08-10T00:00:00Z,7,1.38,1.72,0.67,0.07,0.6,15.5,NA,NA,0.04,NA,NA,NA,NA
Toolik,2016-08-12T00:00:00Z,0,1.5,1.69,0.35,0.03,0.01,14.8,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-08-12T00:00:00Z,1,1.42,1.61,0.36,0.04,0,13.5,NA,NA,0.04,NA,NA,NA,0.803
Toolik,2016-08-12T00:00:00Z,1,1.5,1.68,0.36,0.04,0,13.5,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-08-12T00:00:00Z,3,1.47,1.64,0.34,0.03,0.02,12.1,NA,NA,NA,NA,NA,NA,0.801
Toolik,2016-08-12T00:00:00Z,5,1.38,1.58,0.39,0.03,0,11.2,NA,NA,0.02,NA,NA,NA,0.807
Toolik,2016-08-12T00:00:00Z,8,1.08,1.26,0.34,0.04,0.02,11,NA,NA,0.04,NA,NA,NA,0.789
Toolik,2016-08-12T00:00:00Z,12,0.78,0.98,0.39,0.04,1.25,14.9,NA,NA,NA,NA,NA,NA,0.763
Toolik,2016-08-12T00:00:00Z,16,0.52,0.71,0.37,0.04,1.89,14.8,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-08-12T00:00:00Z,20,0.55,0.76,0.41,0.04,2.02,13.5,NA,NA,NA,NA,NA,NA,NA
Fog 01,2016-08-16T00:00:00Z,1,0.91,1,0.17,0.04,0.04,14.41,NA,NA,0.09,2.38,39.71,256.09,1.357
Fog 01,2016-08-16T00:00:00Z,3,0.84,0.92,0.14,0.04,0.01,14.32,NA,NA,0.11,2.03,25.77,237.09,NA
Fog 01,2016-08-16T00:00:00Z,9,0.73,0.88,0.28,0.04,0.01,13.23,NA,NA,0.09,2.76,31.89,281.91,1.375
Fog 01,2016-08-16T00:00:00Z,16,0.43,0.59,0.31,0.05,0.5,17.86,NA,NA,0.1,3.16,29.67,187.14,NA
Fog 05,2016-08-16T00:00:00Z,1,0.63,0.71,0.16,0.05,0.19,18.27,NA,NA,0.1,2.95,36.81,220.7,0.974
Fog 05,2016-08-16T00:00:00Z,3,0.74,0.82,0.16,0.04,0.1,18.33,NA,NA,0.11,2.84,33.43,159.16,NA
Fog 05,2016-08-16T00:00:00Z,4,0.61,0.69,0.14,0.05,0.05,19.1,NA,NA,0.11,3.29,34,220.92,0.914
Fog 05,2016-08-16T00:00:00Z,8,0.2,0.49,0.55,0.07,1.54,20.02,NA,NA,0.16,8.43,46.76,308.03,NA
Fog 04,2016-08-16T00:00:00Z,0,2.99,3.32,0.63,0.04,0.11,20.66,NA,NA,0.13,10.15,93.14,760.58,NA
Fog 04,2016-08-16T00:00:00Z,1,2.65,2.95,0.59,0.05,0.08,18.84,NA,NA,0.12,10.25,116.82,818.75,NA
Fog 04,2016-08-16T00:00:00Z,3,3.01,3.34,0.63,0.05,0.12,18.62,NA,NA,0.11,9.18,99.48,720.26,NA
Fog 02,2016-08-16T00:00:00Z,1,0.72,0.78,0.12,0.04,0.02,11.03,NA,NA,0.05,4.46,28.65,229.18,1.374
Fog 02,2016-08-16T00:00:00Z,3,0.75,0.81,0.11,0.04,0,9.73,NA,NA,0.07,2.91,23.42,173.27,NA
Fog 02,2016-08-16T00:00:00Z,10,1.19,1.31,0.23,0.04,0.17,9.6,NA,NA,0.07,3.48,37.31,212.36,1.514
Fog 02,2016-08-16T00:00:00Z,16,0.58,0.67,0.18,0.05,0.19,11.29,NA,NA,0.09,3.72,35.57,181.69,NA
Fog 03,2016-08-16T00:00:00Z,1,0.96,1.04,0.16,0.05,0.04,15.15,NA,NA,0.07,1.84,27.84,141,0.938
Fog 03,2016-08-16T00:00:00Z,3,0.96,1.06,0.19,0.05,0.03,16.17,NA,NA,0.1,1.81,33.1,180.91,NA
Fog 03,2016-08-16T00:00:00Z,11,0.33,0.43,0.19,0.05,0.46,14.92,NA,NA,0.07,3.15,29.94,154.14,0.956
Fog 03,2016-08-16T00:00:00Z,16,0.18,0.25,0.14,0.05,1.49,17.76,NA,NA,0.09,2.47,29.43,143.37,NA
Toolik,2016-08-19T00:00:00Z,0,1.26,1.46,0.38,0.04,0.06,12,NA,NA,0.03,NA,NA,NA,0.806
Toolik,2016-08-19T00:00:00Z,1,1.31,1.52,0.41,0.04,0.02,11.5,NA,NA,0.05,NA,NA,NA,0.812
Toolik,2016-08-19T00:00:00Z,1,1.31,1.5,0.37,0.04,0,11.5,NA,NA,0.04,NA,NA,NA,NA
Toolik,2016-08-19T00:00:00Z,3,1.33,1.5,0.34,0.04,0.01,14.5,NA,NA,NA,NA,NA,NA,0.81
Toolik,2016-08-19T00:00:00Z,5,1.28,1.47,0.36,0.04,0,11.3,NA,NA,NA,NA,NA,NA,0.806
Toolik,2016-08-19T00:00:00Z,8,1.21,1.42,0.41,0.04,0.06,11.1,NA,NA,0.04,NA,NA,NA,0.809
Toolik,2016-08-19T00:00:00Z,12,0.64,0.81,0.32,0.04,1.43,15.2,NA,NA,NA,NA,NA,NA,0.765
Toolik,2016-08-19T00:00:00Z,16,0.57,0.72,0.3,0.04,1.67,12.8,NA,NA,0.04,NA,NA,NA,NA
Toolik,2016-08-19T00:00:00Z,20,0.45,0.62,0.33,0.05,2.16,18.2,NA,NA,0.03,NA,NA,NA,NA
Toolik,2016-08-26T00:00:00Z,0,1.45,1.61,0.32,0.06,0.01,11.5,NA,NA,NA,NA,NA,NA,0.83
Toolik,2016-08-26T00:00:00Z,1,1.5,1.71,0.41,0.05,0,12.1,NA,NA,0.05,NA,NA,NA,0.822
Toolik,2016-08-26T00:00:00Z,1,1.33,1.58,0.47,0.06,0.01,12.1,NA,NA,0.53,NA,NA,NA,NA
Toolik,2016-08-26T00:00:00Z,3,1.48,1.7,0.41,0.06,0.01,13.7,NA,NA,0.07,NA,NA,NA,0.823
Toolik,2016-08-26T00:00:00Z,5,1.44,1.65,0.41,0.06,0,12.3,NA,NA,NA,NA,NA,NA,0.829
Toolik,2016-08-26T00:00:00Z,8,0.78,0.97,0.37,0.06,0.07,10.9,NA,NA,0.04,NA,NA,NA,0.826
Toolik,2016-08-26T00:00:00Z,12,0.71,0.88,0.33,0.06,0.84,17.1,NA,NA,0.03,NA,NA,NA,0.8
Toolik,2016-08-26T00:00:00Z,16,0.48,0.63,0.3,0.07,2.02,13.4,NA,NA,0.04,NA,NA,NA,NA
Toolik,2016-08-26T00:00:00Z,20,0.64,0.82,0.35,0.06,2.2,15.1,NA,NA,0.02,NA,NA,NA,NA
Toolik,2016-09-02T00:00:00Z,0,1.58,1.76,0.34,0.03,0.06,11.7,NA,NA,0.06,NA,NA,NA,0.846
Toolik,2016-09-02T00:00:00Z,1,1.59,1.78,0.38,0.04,0.03,11,NA,NA,0.05,NA,NA,NA,0.852
Toolik,2016-09-02T00:00:00Z,1,1.5,1.71,0.41,0.04,0.05,11,NA,NA,0.04,NA,NA,NA,NA
Toolik,2016-09-02T00:00:00Z,3,3.57,1.73,-3.57,0.04,0.03,12.6,NA,NA,NA,NA,NA,NA,0.851
Toolik,2016-09-02T00:00:00Z,5,1.59,1.74,0.3,0.04,0.05,11,NA,NA,0.05,NA,NA,NA,0.861
Toolik,2016-09-02T00:00:00Z,8,1.21,1.72,0.99,0.05,0.05,13.3,NA,NA,NA,NA,NA,NA,0.849
Toolik,2016-09-02T00:00:00Z,12,0.14,1.05,1.76,0.04,0.5,12.8,NA,NA,NA,NA,NA,NA,0.839
Toolik,2016-09-02T00:00:00Z,16,0.25,0.67,0.82,0.04,2.42,13.8,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-09-02T00:00:00Z,20,0.93,0.88,-0.09,0.05,2.64,15.8,NA,NA,0.05,NA,NA,NA,NA
Fog 01,2016-09-07T00:00:00Z,1,0.88,0.98,0.19,0.07,0.04,14.95,NA,NA,0.09,2.4,37.72,219.4,1.396
Fog 01,2016-09-07T00:00:00Z,3,0.8,0.89,0.18,0.06,1.04,16.01,NA,NA,0.09,3.94,62.96,322.84,NA
Fog 01,2016-09-07T00:00:00Z,12,0.51,0.59,0.16,0.07,0.09,14.99,NA,NA,0.09,3.16,NA,218.98,1.55
Fog 01,2016-09-07T00:00:00Z,16,0.24,0.35,0.21,0.08,0.21,17.47,NA,NA,0.1,3.1,NA,171.25,NA
Fog 05,2016-09-07T00:00:00Z,1,0.64,0.75,0.2,0.06,0.29,17.06,NA,NA,0.09,2.91,NA,240.35,1.017
Fog 05,2016-09-07T00:00:00Z,3,0.71,0.83,0.25,0.06,0.52,19.99,NA,NA,0.1,5.33,41.96,220.65,NA
Fog 05,2016-09-07T00:00:00Z,5,0.66,0.77,0.21,0.06,0.51,20.51,NA,NA,0.1,3.33,41.45,205.78,1.019
Fog 05,2016-09-07T00:00:00Z,8,0.67,0.76,0.18,0.07,0.5,17.18,NA,NA,0.1,2.64,31.57,180.8,NA
Fog 02,2016-09-08T00:00:00Z,1,1.41,1.54,0.24,0.07,0.77,10.48,NA,NA,0.06,3,NA,256.67,1.428
Fog 02,2016-09-08T00:00:00Z,3,1.36,1.51,0.27,0.06,0.03,9.82,NA,NA,0.05,4.25,NA,260.21,NA
Fog 02,2016-09-08T00:00:00Z,13,0.84,0.95,0.2,0.07,0.03,11.71,NA,NA,0.06,4.44,NA,194.11,1.63
Fog 02,2016-09-08T00:00:00Z,16,0.68,0.8,0.23,0.07,0.23,13.09,NA,NA,0.08,3.57,27.51,207.94,NA
Fog 03,2016-09-08T00:00:00Z,1,0.88,1,0.23,0.07,0.49,15.42,NA,NA,0.1,3.73,23.25,178.37,0.973
Fog 03,2016-09-08T00:00:00Z,3,0.84,0.97,0.24,0.06,0.29,13.94,NA,NA,0.08,2.71,31.19,226.95,NA
Fog 03,2016-09-08T00:00:00Z,9,0.89,1.02,0.24,0.07,0.31,16.71,NA,NA,0.08,4.84,30.05,223.73,0.974
Fog 03,2016-09-08T00:00:00Z,16,0.83,0.94,0.23,0.07,0.16,13.66,NA,NA,0.11,3.82,28.05,206.28,NA
Toolik,2016-09-09T00:00:00Z,0,1.31,1.44,0.24,0.04,0.23,13.1,NA,NA,0.05,NA,NA,NA,0.862
Toolik,2016-09-09T00:00:00Z,1,1.5,1.7,0.4,0.04,0.18,10.7,NA,NA,0.04,NA,NA,NA,0.862
Toolik,2016-09-09T00:00:00Z,1,1.76,1.91,0.3,0.04,0.25,10.7,NA,NA,0.04,NA,NA,NA,NA
Toolik,2016-09-09T00:00:00Z,3,1.86,2.06,0.4,0.04,0.19,12.1,NA,NA,0.05,NA,NA,NA,0.862
Toolik,2016-09-09T00:00:00Z,5,1.63,1.83,0.39,0.04,0.26,11.2,NA,NA,0.06,NA,NA,NA,0.864
Toolik,2016-09-09T00:00:00Z,8,1.56,1.77,0.4,0.04,0.18,14.8,NA,NA,NA,NA,NA,NA,0.863
Toolik,2016-09-09T00:00:00Z,12,1.34,1.52,0.35,0.04,0.32,14.6,NA,NA,0.05,NA,NA,NA,0.862
Toolik,2016-09-09T00:00:00Z,16,1.17,1.34,0.32,0.04,0.65,12.5,NA,NA,0.03,NA,NA,NA,NA
Toolik,2016-09-09T00:00:00Z,20,0.79,0.95,0.31,0.05,2.89,14.8,NA,NA,0.11,NA,NA,NA,NA
Toolik,2016-09-16T00:00:00Z,0,1.68,1.89,0.41,0.06,0.38,12.7,NA,NA,0.05,NA,NA,NA,0.872
Toolik,2016-09-16T00:00:00Z,1,1.62,1.83,0.42,0.07,0.38,12.1,NA,NA,NA,NA,NA,NA,0.872
Toolik,2016-09-16T00:00:00Z,1,1.7,1.91,0.41,0.06,0.38,12.1,NA,NA,0.53,NA,NA,NA,NA
Toolik,2016-09-16T00:00:00Z,3,1.7,1.91,0.42,0.06,0.36,14.2,NA,NA,0.05,NA,NA,NA,0.867
Toolik,2016-09-16T00:00:00Z,5,1.88,1.79,-0.17,0.06,0.36,12.9,NA,NA,0.05,NA,NA,NA,0.873
Toolik,2016-09-16T00:00:00Z,8,1.26,1.87,1.18,0.06,0.35,12.8,NA,NA,NA,NA,NA,NA,0.865
Toolik,2016-09-16T00:00:00Z,12,1.5,1.68,0.35,0.07,0.38,13.9,NA,NA,NA,NA,NA,NA,0.875
Toolik,2016-09-16T00:00:00Z,16,1.54,1.75,0.39,0.07,0.4,11.1,NA,NA,NA,NA,NA,NA,NA
Toolik,2016-09-16T00:00:00Z,20,1.45,1.71,0.51,0.06,0.54,11.4,NA,NA,0.03,NA,NA,NA,NA
Fog 01,2016-09-22T00:00:00Z,1,0.76,0.86,0.19,0.06,0.52,13.28,NA,NA,0.09,NA,29.97,198.1,1.47
Fog 01,2016-09-22T00:00:00Z,3,0.8,0.91,0.21,0.06,0.21,13.69,NA,NA,0.08,NA,32.53,202.13,NA
Fog 01,2016-09-22T00:00:00Z,8,0.81,0.91,0.19,0.06,0.13,14.29,NA,NA,0.11,NA,33.14,216.77,1.465
Fog 01,2016-09-22T00:00:00Z,16,0.75,0.85,0.2,0.06,0.18,14.82,NA,NA,0.14,NA,34.17,211.29,NA
Fog 05,2016-09-22T00:00:00Z,1,0.55,0.64,0.17,0.06,0.78,16.52,NA,NA,0.13,NA,24.91,164.57,1.037
Fog 05,2016-09-22T00:00:00Z,3,0.54,0.63,0.17,0.06,0.75,15.8,NA,NA,0.12,NA,26.34,150.48,NA
Fog 05,2016-09-22T00:00:00Z,5,0.54,0.63,0.18,0.06,0.82,19.35,NA,NA,0.12,NA,27.01,181.58,1.201
Fog 05,2016-09-22T00:00:00Z,8,0.54,0.64,0.18,0.06,0.76,16.55,NA,NA,0.1,NA,28.77,190.81,NA
Fog 02,2016-09-23T00:00:00Z,1,1.8,1.96,0.3,0.06,0.24,10.39,NA,NA,0.08,NA,37.74,294.69,1.469
Fog 02,2016-09-23T00:00:00Z,3,1.81,1.97,0.31,0.06,0.1,9.48,NA,NA,0.08,NA,48.38,312.74,NA
Fog 02,2016-09-23T00:00:00Z,8,1.95,2.1,0.28,0.06,0.08,11.02,NA,NA,0.07,NA,46.61,314.25,1.459
Fog 02,2016-09-23T00:00:00Z,16,1.81,1.96,0.29,0.06,0.03,9.95,NA,NA,0.05,NA,50.78,318.59,NA
Fog 03,2016-09-23T00:00:00Z,1,1.06,1.21,0.28,0.06,0.2,15.04,NA,NA,0.08,NA,32.29,210.86,0.972
Fog 03,2016-09-23T00:00:00Z,3,1.04,1.17,0.25,0.06,0.17,15.45,NA,NA,0.09,NA,30.07,189.16,NA
Fog 03,2016-09-23T00:00:00Z,8,1.06,1.2,0.27,0.06,0.21,16.8,NA,NA,0.08,NA,38.2,219.11,0.967
Fog 03,2016-09-23T00:00:00Z,16,1.04,1.18,0.27,0.06,0.2,15.42,NA,NA,0.08,NA,36.66,220.17,NA
Toolik,2016-09-24T00:00:00Z,0,1.86,2.1,0.47,0.06,0.51,12.6,NA,NA,0.07,NA,NA,NA,0.879
Toolik,2016-09-24T00:00:00Z,1,1.83,2.03,0.4,0.05,0.49,12.3,NA,NA,0.05,NA,NA,NA,0.879
Toolik,2016-09-24T00:00:00Z,1,1.74,1.94,0.4,0.06,0.51,12.3,NA,NA,0.06,NA,NA,NA,NA
Toolik,2016-09-24T00:00:00Z,3,1.84,2.07,0.44,0.06,0.49,13.5,NA,NA,0,NA,NA,NA,0.878
Toolik,2016-09-24T00:00:00Z,5,1.86,2.06,0.37,0.06,0.46,11.5,NA,NA,0.05,NA,NA,NA,0.877
Toolik,2016-09-24T00:00:00Z,8,1.82,2.04,0.43,0.06,0.4,11.3,NA,NA,0.15,NA,NA,NA,0.881
Toolik,2016-09-24T00:00:00Z,12,1.73,1.95,0.43,0.05,0.41,11.3,NA,NA,0,NA,NA,NA,0.877
Toolik,2016-09-24T00:00:00Z,16,1.99,1.99,-0.01,0.06,0.41,13.8,NA,NA,0.05,NA,NA,NA,NA
Toolik,2016-09-24T00:00:00Z,20,1.84,2.02,0.36,0.05,0.43,13.4,NA,NA,0.08,NA,NA,NA,NA
Toolik,2017-06-10T00:00:00Z,0,0.56,0.65,0.17,0.04,0.29,7.3,9.27,NA,0.02,NA,27.6,257.41,0.102
Toolik,2017-06-10T00:00:00Z,1,1.6,1.73,0.25,0.04,0.49,12.5,16.39,NA,0.1,NA,54.51,375.01,0.523
Toolik,2017-06-10T00:00:00Z,1,1.35,1.42,0.14,0.04,0.42,12.5,NA,NA,0.06,NA,42.43,310.56,0.528
Toolik,2017-06-10T00:00:00Z,3,1.44,1.59,0.3,0.04,3.38,19,21.14,NA,0.05,NA,29.95,216.42,1.004
Toolik,2017-06-10T00:00:00Z,5,0.97,1.07,0.2,0.04,3.5,17.3,19.52,NA,0.54,NA,31.16,210.67,1.006
Toolik,2017-06-10T00:00:00Z,8,1.44,1.59,0.29,0.04,3.42,18.3,20.37,NA,0.04,NA,28.97,214.06,1.005
Toolik,2017-06-10T00:00:00Z,12,1.1,1.21,0.21,0.03,3.42,20.4,22.47,NA,0.04,NA,28.98,209.58,1.005
Toolik,2017-06-10T00:00:00Z,16,1.52,1.66,0.28,0.04,3.52,17,19.05,NA,0.05,NA,28.76,213.78,1.006
Toolik,2017-06-10T00:00:00Z,20,1.34,1.51,0.33,0.04,3.46,18.7,20.71,NA,0.06,NA,28.18,210.28,1.017
Fog 01,2017-06-13T00:00:00Z,0,0.55,0.58,0.07,0.07,0.01,10.36,12.73,NA,0.12,3.23,32.7,241.82,0.928
Fog 02,2017-06-13T00:00:00Z,0,0.62,0.66,0.09,0.04,0,10.82,13.38,NA,0.07,3.15,36.13,240.37,0.864
Fog 03,2017-06-13T00:00:00Z,0,1.86,1.99,0.26,0.05,0.12,16.03,18.83,NA,0.08,4.38,39.69,286.32,0.793
Fog 05,2017-06-13T00:00:00Z,0,1.21,1.32,0.21,0.05,0.04,14.02,16.88,NA,0.08,3.31,40.33,278.34,0.696
Toolik,2017-06-16T00:00:00Z,0,2.05,2.21,0.3,0.07,1.15,14.2,17.25,NA,0.05,NA,42.7,288.02,0.8
