lake,longitude_utm,latitude_utm,state,source,state_lake_id,epa_lake_id,date,year,CHL_ugL,TN_ugL,TP_ugL,Area_km2,Z_mean_m,Watershed_km2,AgUrb.prop
Diamond Lake,816923.3119,2333881.735,MI,MI_STORET,62_269,MI62_269,8/21/75,1975,9.8,593,8,75.859,2.7,7.474,low
Sand Lake,812832.9756,2302363.961,MI,MI_DNR_ST,62_34,MI62_34,,2004,1.6,619,12,24.35,1.8,0.967,low
Croton Dam Pond,832069.4232,2317659.653,MI,MI_DNR_ST,62_61,MI62_61,,2004,3.2,350,14,501.937,2.7,5911.921,low
Bills Lake,831934.0179,2311591.779,MI,MI_STORET,62_75,MI62_75,8/26/81,1981,0.89,345,6,81.022,5.7,3.514,low
Pickerel Lake,819287.6114,2317798.114,MI,MI_STORET,62_84,MI62_84,8/31/81,1981,5.4,748,16,124.045,7.8,5.15,low
Heron Lake,1011484.957,2267775.861,MI,MI_STORET,63_1433,MI63_1433,9/8/81,1981,1.4,775,24,48.446,2.5,12.148,low
Valley Wildwood Lake,1012170.354,2267135.476,MI,MI_STORET,63_1436,MI63_1436,9/8/81,1981,1.1,665,18,37.048,2.48,11.039,low
Crystal Lake,771356.0358,2334766.389,MI,MI_STORET,64_178,MI64_178,9/8/80,1980,7,566,24,28.848,4.1,2.458,low
Todd Lake,841586.809,2375438.933,MI,MI_STORET,67_194,MI67_194,8/26/81,1981,5.4,586,19,33.074,6.5,12.796,low
Hicks Lake,854300.8994,2385049.856,MI,MI_STORET,67_231,MI67_231,8/23/76,1976,29,1044,20,64.561,3.1,15.034,low
Rose Lake,845759.4052,2388790.751,MI,MI_DNR_ST,67_242,MI67_242,,2002,10,555,20,150.82,4.7,19.387,low
Diamond Lake,837287.7192,2390510.984,MI,MI_STORET,67_399,MI67_399,8/25/81,1981,1.2,644,15,24.065,5.1,1.473,low
Corey Lake,842809.2501,2148448.896,MI,MI_STORET,78_104,MI78_104,9/22/81,1981,2.6,592,13,241.484,8.19,3.765,low
Clear Lake,843739.553,2150497.304,MI,MI_STORET,78_93,MI78_93,9/22/81,1981,2.8,668,19,94.279,3.6,1.921,low
Saddle Lake,812664.7012,2196202.428,MI,MI_STORET,80_68,MI80_68,9/9/81,1981,1.1,627,16,114.229,2.5,4.966,low
Crooked Lake,970698.6291,2207508.472,MI,MI_DNR_ST,81_147,MI81_147,,2002,2,768,9,45.518,1.7,2.519,low
Green Lake,973574.6641,2213280.625,MI,MI_DNR_ST,81_46,MI81_46,,2002,2,698,18,35.918,1,2.547,low
Sugarloaf Lake,970458.3522,2209950.824,MI,MI_STORET,81_62,MI81_62,9/23/80,1980,4.2,877,12,71.699,1,13.531,low
Berry Lake,846183.7907,2406780.591,MI,MI_STORET,83_8,MI83_8,8/18/81,1981,6.5,681,30,27.594,3.1,18.67,low
MOOSE LAKE,546096.9035,2474161.694,WI,WIDNRbaseline,337600,WI337600,7/16/02,2002,4.01,1196,40,45.777,2.743,10.352,low
MCGEE LAKE,558617.7401,2482423.424,WI,WIDNRbaseline,353200,WI353200,8/26/04,2004,3.6,349,14,8.261,4.267,2.588,low
GILAS LAKE,614164.6106,2489088.674,WI,WIDNRbaseline,523300,WI523300,9/5/02,2002,3.59,660,11,54.552,7.01,2.588,low
COSGROVE LAKE,608058.9272,2570195.159,WI,WIDNRbaseline,585100,WI585100,8/16/04,2004,1.75,710,11,30.902,1.829,2.588,low
MAPLE LAKE,531468.5433,2554148.821,WI,WIDNRbaseline,1609900,WI1609900,8/17/04,2004,2.47,580,16,53.15,2.438,2.588,low
PIKE LAKE,386896.1171,2464427.082,WI,WIDNRbaseline,2157900,WI2157900,7/15/04,2004,16.2,810,25,76.454,3.658,5.176,low
Thornapple Flowage,375757.4285,2501960.296,WI,WIDNRbaseline,2227500,WI2227500,9/1/04,2004,6.52,573,25,85.253,2.743,4692.192,low
DAIRYLAND RESERVOIR,390366.0261,2514785.459,WI,WIDNRbaseline,2229200,WI2229200,9/1/04,2004,11,750,37,756.982,7.315,4604.197,low
ISLAND LAKE,361459.039,2489826.277,WI,WIDNRbaseline,2350200,WI2350200,9/7/04,2004,14.2,660,21,219.603,6.706,41.409,low
CHAIN LAKE,358182.9643,2487504.136,WI,WIDNRbaseline,2350500,WI2350500,9/7/04,2004,21.9,760,27,183.776,5.486,33.655,low
Arbor Lake,269851.0611,2085521.548,IA,IADNR_ISU,1,IA001,8/2/04,2004,44.96,2191,181.21,5.636,2.443,4.231,high
Arrowhead Pond (Pottawattamie),33873.27357,2047676.737,IA,IADNR_ISU,2,IA002,7/28/04,2004,132.92,1741,171.93,6.259,2.239,4.178,high
Avenue of the Saints Lake,281954.2627,2194930.719,IA,IADNR_ISU,4,IA004,8/10/04,2004,42.48,1402,288.9,13.849,1.928,22.971,high
Badger Creek Lake,172288.371,2053430.691,IA,IADNR_ISU,5,IA005,8/5/04,2004,97.36,932,361.5,100.228,3.159,45.15,high
Badger Lake,147837.9068,2177930.075,IA,IADNR_ISU,6,IA006,7/22/04,2004,22.08,14661,39.24,18.841,2.017,50.729,high
Beaver Lake,147786.4948,2059848.59,IA,IADNR_ISU,7,IA007,7/26/04,2004,92.72,2191,122.34,13.379,2.933,4.081,high
Big Creek Lake,185740.5762,2093250.034,IA,IADNR_ISU,9,IA009,8/2/04,2004,1.15,10391,21.86,316.452,5.502,189.481,high
Big Spirit Lake,73238.45628,2276009.088,IA,IADNR_ISU,10,IA010,7/20/04,2004,20.18,747,41.87,2145.717,5.183,153.578,high
Black Hawk Lake,79805.08335,2144216.653,IA,IADNR_ISU,11,IA011,7/19/04,2004,65.2,1483,144.95,367.834,1.534,53.332,high
Blue Lake,-13622.18345,2116552.231,IA,IADNR_ISU,12,IA012,7/28/04,2004,34.34,920,76.68,111.289,1.4,20.343,high
Browns Lake,-27225.70217,2145332.958,IA,IADNR_ISU,15,IA015,7/19/04,2004,5.48,1036,55.43,166.554,1.387,24.522,high
Carter Lake,6934.484434,2032811.405,IA,IADNR_ISU,17,IA017,7/27/04,2004,102.24,2174,198.77,130.066,2.587,9.705,high
Center Lake,69627.17538,2269081.585,IA,IADNR_ISU,19,IA019,7/20/04,2004,32.52,1975,155.38,103.673,2.96,2.476,high
Clear Lake,208014.5033,2239702.385,IA,IADNR_ISU,21,IA021,8/9/04,2004,83.04,2396,98.66,1575.458,2.855,38.598,high
Crawford Creek Impoundment,32451.23958,2141505.489,IA,IADNR_ISU,24,IA024,7/19/04,2004,10.67,756,36.06,25.13,3.521,9.631,high
Dog Creek Lake,42984.60025,2215903.777,IA,IADNR_ISU,30,IA030,7/20/04,2004,58.4,3679,77.36,11.689,2.984,11.49,high
Don Williams Lake,162566.7885,2125104.448,IA,IADNR_ISU,31,IA031,7/29/04,2004,18.16,10376,37.13,60.244,5.152,85.263,high
East Lake (Osceola),188223.4267,2004994.615,IA,IADNR_ISU,32,IA032,8/6/04,2004,99.89,1883,316.08,5.388,2.131,1.201,high
East Okoboji Lake,72618.11142,2266574.633,IA,IADNR_ISU,33,IA033,7/21/04,2004,14.94,1328,96.95,745.74,3.163,47.668,high
Five Island Lake,108372.2397,2239053.79,IA,IADNR_ISU,36,IA036,7/21/04,2004,57.69,5051,84.04,390.703,1.076,31.266,high
Fogle Lake,137948.0088,1979504.418,IA,IADNR_ISU,37,IA037,7/27/04,2004,18.96,1662,62.68,15.729,2.798,2.058,high
Green Castle Lake,258462.2745,2107068.369,IA,IADNR_ISU,40,IA040,8/2/04,2004,6.31,1608,27.77,6.519,2.912,1.072,high
Green Valley Lake,134279.5049,2011656.984,IA,IADNR_ISU,41,IA041,7/27/04,2004,14.38,2078,48.99,146.826,2.713,19.245,high
Greenfield Lake,126450.5456,2033081.926,IA,IADNR_ISU,42,IA042,7/26/04,2004,38.24,1237,107.11,19.597,3.082,3.808,high
Hickory Grove Lake,217474.3886,2112245.805,IA,IADNR_ISU,45,IA045,8/2/04,2004,19.24,6828,42.57,40.555,4.848,16.004,high
Ingham Lake,105315.0466,2258859.94,IA,IADNR_ISU,48,IA048,7/21/04,2004,160.88,2574,107.12,151.066,1.89,3.707,high
Lake Cornelia,187956.1544,2201156.793,IA,IADNR_ISU,53,IA053,8/9/04,2004,39.58,2021,83.14,99.171,2.348,2.998,high
Lake Icaria,106314.4259,2006508.415,IA,IADNR_ISU,57,IA057,7/27/04,2004,1.95,2640,56.83,272.046,3.413,68.02,high
Lake Manawa,11964.93221,2022078.705,IA,IADNR_ISU,60,IA060,7/27/04,2004,63.72,1744,123.62,315.782,1.355,9.813,high
Lake Orient,130072.9334,2022191.167,IA,IADNR_ISU,67,IA067,7/26/04,2004,44.4,2294,138.68,10.672,1.826,2.363,high
Lake Pahoja,-37508.78564,2265555.105,IA,IADNR_ISU,68,IA068,7/20/04,2004,46.2,4963,69.85,25.93,3.266,15.606,high
Lake Smith,142320.098,2237816.914,IA,IADNR_ISU,69,IA069,7/22/04,2004,46.03,4200,90.8,22.919,1.657,5.74,high
Little Sioux Park Lake,16265.59179,2160987.751,IA,IADNR_ISU,73,IA073,7/19/04,2004,4.29,571,20.2,4.367,3.141,0.25,high
Little Spirit Lake,70335.37121,2278412.03,IA,IADNR_ISU,74,IA074,7/21/04,2004,7.66,3732,361.83,249.029,1.831,5.844,high
Little Wall Lake,193674.8785,2143467.227,IA,IADNR_ISU,75,IA075,8/9/04,2004,66.24,2825,89.27,100.23,1.616,0.758,high
Littlefield Lake,100717.0982,2062039.757,IA,IADNR_ISU,76,IA076,7/28/04,2004,90.64,1867,97.69,23.424,2.449,9.895,high
Lost Island Lake,88309.45223,2242386.398,IA,IADNR_ISU,77,IA077,7/21/04,2004,37.46,1482,70.49,472.217,3.143,20.73,high
Manteno Park Pond,44152.65825,2094776.523,IA,IADNR_ISU,80,IA080,7/28/04,2004,97.04,1277,112.61,5.68,2.036,9.118,high
Mariposa Lake,250548.3056,2090169.345,IA,IADNR_ISU,81,IA081,8/2/04,2004,228.64,2649,200.16,7.478,2.375,2.33,high
