lake,longitude_utm,latitude_utm,state,source,state_lake_id,epa_lake_id,date,year,CHL_ugL,TN_ugL,TP_ugL,Area_km2,Z_mean_m,Watershed_km2,AgUrb.prop
Lacey Keosauqua Park Lake,337515.3573,1973360.273,IA,IADNR_ISU,50,IA050,8/4/04,2004,11.15,2714,22.14,8.35,3.561,2.984,low
Lake Geode,385680.9889,1987586.991,IA,IADNR_ISU,55,IA055,8/3/04,2004,10.63,1651,20.79,71.281,7.216,41.021,low
Alcona Dam Pond,962961.0591,2459748.812,MI,MI_STORET,1_4,MI1_4,8/25/80,1980,2.1,219,4,392.189,5,3990.403,low
Lake Ann,801077.7228,2457101.458,MI,MI_DNR_ST,10_111,MI10_111,,2004,1,252,4,202.485,9.7,110.5,low
Lower Herring Lake,774319.8105,2437134.003,MI,MI_DNR_ST,10_24,MI10_24,,2004,4.2,377,10,180.513,8.9,58.984,low
Platte Lake,782376.3564,2451889.137,MI,MI_STORET,10_39,MI10_39,8/12/82,1982,1.7,256,7.5,1024.431,8.23,462.643,low
Crystal Lake,776794.1677,2447932.307,MI,MI_DNR_ST,10_42,MI10_42,,2004,1,178,9,3993.021,17.5,72.214,low
Thumb Lake,880207.8293,2519348.867,MI,MI_STORET,15_3,MI15_3,8/20/80,1980,0.62,822,19,206.162,9.5,19.667,low
Hoffman Lake,879707.4803,2512340.895,MI,MI_STORET,15_6,MI15_6,9/1/81,1981,1,309,7,48.141,2.6,29.04,low
Burt Lake,883854.2063,2551642.89,MI,MI_STORET,16_193,MI16_193,8/16/81,1981,1,219,6,7038.434,7.5,759.558,low
Silver Lake,889359.3094,2528999.283,MI,MI_STORET,16_82,MI16_82,8/18/80,1980,0.1,366,8,27.354,11.3,0.999,low
Long Lake,894292.9493,2397726.284,MI,MI_STORET,18_296,MI18_296,9/16/81,1981,2,631,13,84.169,4.4,13.384,low
Fish Lake,722547.4783,2617206.41,MI,MI_STORET,2_27,MI2_27,8/27/75,1975,8.1,397,17,48.698,5,65.439,low
Au Train Lake,705326.9268,2635668.75,MI,MI_DNR_ST,2_361,MI2_361,,2002,6,520,20,341.297,3.62,286.111,low
Grand Sable Lake,763794.9422,2667737.847,MI,MI_DNR_ST,2_775,MI2_775,,2004,2.9,230,3.9,265.36,10.4,41.048,low
Section One Lake,896117.2377,2482762.069,MI,MI_DNR_ST,20_105,MI20_105,,2002,3,890,10,23.79,2.5,4.429,low
KP Lake,902294.6965,2476751.353,MI,MI_STORET,20_94,MI20_94,8/29/77,1977,3.6,413,8,44.211,3.5,15.806,low
Skeels Lake,724472.1702,2610157.23,MI,MI_STORET,21_468,MI21_468,8/27/75,1975,6,355,10,37.157,4.5,10.034,low
Hamilton Lake,638657.8599,2557145.017,MI,MI_STORET,22_15,MI22_15,8/29/79,1979,6.3,640,18,30.823,3.3,36.93,low
Sixmile Lake,626254.3274,2585970.067,MI,MI_STORET,22_188,MI22_188,8/29/79,1979,24,772,16,40.197,3,22.731,low
Silver Lake,616507.6788,2605305.69,MI,MI_DNR_ST,22_350,MI22_350,,2002,4,596,24,44.326,2.8,2.384,low
Edey Lake,613609.7291,2604569.496,MI,MI_STORET,22_368,MI22_368,8/23/77,1977,1.7,198,4,32.69,2.9,0.934,low
Carney Lake,625956.7544,2571883.874,MI,MI_STORET,22_65,MI22_65,8/26/75,1975,4.8,423,10,45.992,4,0.887,low
Pratt Lake,912601.1499,2392159.075,MI,MI_STORET,26_20,MI26_20,9/15/81,1981,1.2,691,8,76.1,3,1.471,low
Duck Lake,523986.8585,2596844.332,MI,MI_DNR_ST,27_108,MI27_108,,2003,9.2,411,19,248.942,4.1,17.747,low
Allen Lake,527555.2697,2600556.933,MI,MI_STORET,27_111,MI27_111,8/9/81,1981,1.7,416,9,31.485,4.5,6.852,low
Dinner Lake,530466.9439,2598309.661,MI,MI_DNR_ST,27_117,MI27_117,,2004,1.2,504,7,43.542,3.8,1.135,low
Taylor Lake,537203.3821,2603613.536,MI,MI_STORET,27_16,MI27_16,8/10/81,1981,9.4,480,9,44.545,5.1,10.516,low
Thousand Island Lake,509519.5501,2599732.511,MI,MI_STORET,27_265,MI27_265,8/14/80,1980,3.9,442,11,450.612,3.5,17.271,low
Cisco Lake,506466.9307,2599873.483,MI,MI_STORET,27_275,MI27_275,8/14/80,1980,35,639,40,230.791,2.4,106.4,low
Imp Lake,534854.0164,2600426.233,MI,MI_STORET,27_30,MI27_30,8/14/80,1980,1.9,289,6,36.57,9.6,1.657,low
Marion Lake,533462.6024,2605493.682,MI,MI_STORET,27_495,MI27_495,8/10/81,1981,3.7,407,9,120.384,3.7,6.968,low
Bass Lake,526505.9912,2609076.815,MI,MI_STORET,27_520,MI27_520,8/10/81,1981,2,559,18,80.281,2.6,6.936,low
Langford Lake,503382.8161,2603900.98,MI,MI_DNR_ST,27_696,MI27_696,,2004,5.9,588,43,194.624,2.1,9.108,low
Clearwater Lake,508742.7763,2602855.952,MI,MI_STORET,27_713,MI27_713,8/14/80,1980,5.4,391,13,71.529,2.1,1.791,low
Ormes Lake,490049.7369,2602974.078,MI,MI_STORET,27_854,MI27_854,8/13/80,1980,4.9,325,12,20.919,4.6,0.584,low
Eel Lake,481374.8197,2605518.014,MI,MI_STORET,27_914,MI27_914,8/9/81,1981,0.91,329,13,20.97,2.7,0.734,low
Chaney Lake,469620.7821,2607571.759,MI,MI_STORET,27_933,MI27_933,8/12/80,1980,10,718,24,200.831,2.2,11.676,low
Bobcat Lake,488104.8102,2612482.511,MI,MI_STORET,27_980,MI27_980,8/13/80,1980,8.9,747,18,36.05,2,3.275,low
Fife Lake,842764.5789,2444742.821,MI,MI_STORET,28_10,MI28_10,8/25/76,1976,2.3,291,6,241.682,4.5,31.313,low
Bass Lake,812268.1454,2454159.667,MI,MI_STORET,28_106,MI28_106,8/24/76,1976,4.5,592,8,138.516,2.7,2.228,low
Cedar Hedge Lake,806878.662,2452202.722,MI,MI_STORET,28_110,MI28_110,8/24/76,1976,2,491,34,77.44,5.8,1.565,low
Duck Lake,810589.7353,2445715.411,MI,MI_STORET,28_124,MI28_124,9/7/82,1982,1.1,254,3,786.534,7.3,81.846,low
Bass Lake,805688.1919,2445116.244,MI,MI_STORET,28_137,MI28_137,8/24/76,1976,5.7,652,12,37.426,1.9,0.89,low
Cedar Lake,804868.3721,2460020.513,MI,MI_STORET,28_201,MI28_201,8/27/80,1980,3.6,328,3,20.632,7.5,4.861,low
Long Lake,808725.0108,2455429.466,MI,MI_STORET,28_214,MI28_214,8/20/75,1975,2.1,112,12,1176.552,7.9,44.042,low
Green Lake,807777.9238,2445150.482,MI,MI_STORET,28_56,MI28_56,9/7/82,1982,0.65,221,5,807.813,11.4,135.781,low
Spider Lake,829745.0077,2455377.615,MI,MI_STORET,28_81,MI28_81,8/25/76,1976,2.2,452,4,179.958,2.8,3.704,low
Brown Bridge Pond,829529.9864,2452601.801,MI,MI_STORET,28_95,MI28_95,8/28/80,1980,5.1,226,8,68.909,3.4,388.887,low
Bob Lake,544013.7034,2650951.087,MI,MI_DNR_ST,31_585,MI31_585,,2004,4,512,8,52.587,2.3,12.813,low
Pike Lake,547635.2624,2669472.105,MI,MI_STORET,31_760,MI31_760,8/25/75,1975,3.5,484,19,33.437,3.3,3.29,low
Otter Lake,567732.0958,2680280.234,MI,MI_STORET,31_825,MI31_825,8/25/75,1975,24.79,427,31,363.799,4.8,1814.632,low
Roland Lake,546555.5786,2675776.457,MI,MI_STORET,31_915,MI31_915,8/25/75,1975,4.5,660,13,104.614,4.1,26.356,low
Emily Lake,546739.3806,2672685.263,MI,MI_STORET,31_973,MI31_973,8/30/78,1978,4.5,300,6,23.972,7.4,1.665,low
Foote Dam Pond,988921.2251,2450463.606,MI,MI_STORET,35_205,MI35_205,8/26/80,1980,0.94,208,6,687.18,5.8,4354.792,low
Sand Lake,977013.6717,2433894.526,MI,MI_DNR_ST,35_9,MI35_9,,2003,4.6,1590,23,99.325,2.3,20.579,low
Loon Lake,964713.5311,2442054.769,MI,MI_STORET,35_95,MI35_95,8/18/75,1975,1.2,485,25,167.572,10.5,13.104,low
Indian Lake,581242.7735,2584563.607,MI,MI_DNR_ST,36_138,MI36_138,,2004,2.4,459,13,79.617,4.6,2.544,low
Cable Lake,570985.5791,2618092.545,MI,MI_DNR_ST,36_1480,MI36_1480,,2004,1,464,48,134.079,3.2,28.417,low
Buck Lake,587763.1055,2583965.212,MI,MI_STORET,36_150,MI36_150,8/14/80,1980,13,448,14,60.856,3.4,23.452,low
Lake Sainte Kathryn,560501.3106,2620750.172,MI,MI_STORET,36_1501,MI36_1501,8/10/81,1981,3.4,737,15,66.971,3.1,1.347,low
Webb Lake,561084.5933,2617728.053,MI,MI_STORET,36_1536,MI36_1536,8/10/81,1981,19,316,7,26.047,4,0.87,low
Stager Lake,594375.3191,2579111.478,MI,MI_STORET,36_17,MI36_17,8/14/80,1980,7.3,275,9,44.308,5.8,12.103,low
Stanley Lake,564640.7276,2585121.361,MI,MI_STORET,36_173,MI36_173,8/12/81,1981,2.3,460,22,128.677,3.3,4.455,low
Camp Lake,563494.1859,2583202.761,MI,MI_STORET,36_174,MI36_174,8/12/81,1981,2.8,389,11,39.665,5.5,3.3,low
Winslow Lake,557951.1187,2616337.625,MI,MI_STORET,36_1760,MI36_1760,8/10/81,1981,3.8,464,16,104.594,2.8,19.094,low
Tepee Lake,548789.2648,2620158.145,MI,MI_DNR_ST,36_1936,MI36_1936,,2003,11,512,12,49.61,2.5,2.616,low
Bass Lake,559834.1286,2583168.134,MI,MI_STORET,36_194,MI36_194,8/11/81,1981,9.4,995,24,40.746,2.1,7.098,low
Runkle Lake,595851.0078,2592271.731,MI,MI_STORET,36_289,MI36_289,8/14/80,1980,12,486,15,35.12,3.9,4.231,low
Swan Lake,587821.7272,2598403.158,MI,MI_STORET,36_307,MI36_307,8/9/81,1981,4.3,466,17,64.559,4.4,9.632,low
Long Lake,583879.3832,2593342.151,MI,MI_STORET,36_331,MI36_331,8/23/77,1977,1.8,244,1,24.207,9.6,0.207,low
Mary Lake,602265.2051,2587835.501,MI,MI_STORET,36_34,MI36_34,8/29/78,1978,4.5,428,11,106.354,6.3,5.542,low
First Fortune Lake,585620.071,2588153.755,MI,MI_STORET,36_352,MI36_352,8/12/81,1981,1.8,291,11,170.744,6.2,20.42,low
Lake Ottawa,560185.0092,2587526.754,MI,MI_DNR_ST,36_417,MI36_417,,2003,1,367,38,214.415,11.3,8.408,low
Little Smoky Lake,547343.986,2586465.418,MI,MI_STORET,36_466,MI36_466,8/11/81,1981,4,420,16,34.912,3.1,2.894,low
Ellen Lake,606679.6399,2601243.339,MI,MI_STORET,36_553,MI36_553,8/23/77,1977,1.9,374,4,56.604,6.9,1.574,low
Fire Lake,581931.5798,2601107.254,MI,MI_STORET,36_686,MI36_686,8/23/77,1977,4,368,13,50.689,3.3,5.211,low
Tamarack Lake,540999.0193,2603233.755,MI,MI_STORET,36_768,MI36_768,8/10/81,1981,9.4,701,24,134.136,3.48,72.658,low
James Lake,548003.2566,2599624.242,MI,MI_STORET,36_771,MI36_771,8/11/81,1981,1.1,151,8,83.244,1.6,2.465,low
Golden Lake,549804.7376,2596832.715,MI,MI_DNR_ST,36_777,MI36_777,,2004,1.2,271,8,110.048,8,2.84,low
Deer Lake,591686.4852,2616433.078,MI,MI_STORET,36_849,MI36_849,8/9/81,1981,6.5,292,10,31.739,4.5,11.497,low
Long Lake,979674.4137,2532652.406,MI,MI_DNR_ST,4_42,MI4_42,,2004,1.4,462,3.9,2164.014,3.2,104.393,low
Bear Lake,872221.1078,2466259.685,MI,MI_DNR_ST,40_104,MI40_104,,2004,1.5,381,32,126.612,8.5,6.934,low
Cub Lake,871535.4681,2465112.153,MI,MI_STORET,40_106,MI40_106,8/25/80,1980,1.6,359,7,23.21,2.9,0.29,low
Manistee Lake,865286.3025,2470157.974,MI,MI_DNR_ST,40_117,MI40_117,,2004,2.8,591,17,353.306,2.2,37.712,low
Pickerel Lake,868616.9502,2473991.465,MI,MI_STORET,40_295,MI40_295,8/31/81,1981,2,359,8,37.823,7.8,6.213,low
East Lake,856723.8651,2454284.538,MI,MI_DNR_ST,40_61,MI40_61,,2004,1.7,709,13,37.839,2,6.547,low
Thayer Lake,587963.1777,2723593.673,MI,MI_STORET,42_18,MI42_18,8/10/80,1980,14,582,11,51.571,1,19.26,low
Lake Gratiot,597615.7352,2731740.656,MI,MI_STORET,42_36,MI42_36,8/25/75,1975,1.9,92,7,588.071,8.1,22.779,low
Medora Lake,607963.7822,2742134.717,MI,MI_DNR_ST,42_86,MI42_86,,2004,4,307,3.9,278.844,4.4,9.631,low
Wolf Lake,809544.469,2378217.46,MI,MI_STORET,43_183,MI43_183,8/21/75,1975,1,88,10,164.908,1.8,26.398,low
Bass Lake,798429.1253,2384982.39,MI,MI_STORET,43_199,MI43_199,8/25/81,1981,1.7,516,16,119.328,3.1,10.578,low
Harper Lake,798273.0278,2391145.049,MI,MI_STORET,43_254,MI43_254,8/25/81,1981,1.1,374,6,33.533,5.5,1.805,low
Little Traverse Lake,799138.4034,2479731.078,MI,MI_STORET,45_49,MI45_49,8/26/80,1980,1.8,336,3,261.217,5.3,49.455,low
Lime Lake,799717.6217,2476683.9,MI,MI_STORET,45_51,MI45_51,8/26/80,1980,0.83,344,3,267.794,5,33.189,low
Glen Lake,788590.1657,2472842.54,MI,MI_STORET,45_9,MI45_9,8/27/80,1980,0.84,196,4,2544.556,21.8,69.038,low
Muskallonge Lake,794580.6166,2674361.629,MI,MI_DNR_ST,48_566,MI48_566,,2004,2.7,544,8,319.025,2.9,31.706,low
Perch Lake,797767.4856,2670588.798,MI,MI_STORET,48_573,MI48_573,8/28/78,1978,6.8,408,9,37.674,5.6,2.709,low
Culhane Lake,815593.7464,2679581.462,MI,MI_DNR_ST,48_685,MI48_685,,2002,4,414,8,42.393,4.5,32.458,low
Lake of the Woods,851069.3305,2484121.425,MI,MI_STORET,5_27,MI5_27,8/17/81,1981,2.8,616,13,69.659,1.5,19.858,low
Torch Lake,839688.7831,2487152.183,MI,MI_DNR_ST,5_51,MI5_51,,2004,1,113,6,7575.072,42.5,616.264,low
Sixmile Lake,846645.1655,2507630.38,MI,MI_STORET,5_89,MI5_89,8/17/81,1981,2.8,446,17,149.671,4,91.272,low
Wilson Lake,843079.998,2507183.648,MI,MI_STORET,5_93,MI5_93,9/11/78,1978,6.6,66,12,36.14,3.5,153.764,low
Hodenpyl Dam Pond,811131.4381,2420187.437,MI,MI_STORET,51_126,MI51_126,8/26/81,1981,4,232,10,751.234,7,2455.062,low
Pine Lake,795055.5071,2397758.029,MI,MI_STORET,51_25,MI51_25,8/25/81,1981,1.7,523,6,67.32,6.2,2.002,low
Sporley Lake,667439.9462,2624380.193,MI,MI_STORET,52_139,MI52_139,8/11/80,1980,1.6,475,13,31.088,6.4,1.924,low
Arfelin Lake,609366.2226,2652069.774,MI,MI_STORET,52_1585,MI52_1585,8/13/80,1980,2.3,393,4,22.718,5.1,1.187,low
Lake Keewaydin,605319.2929,2648628.832,MI,MI_STORET,52_1606,MI52_1606,8/25/75,1975,6.1,279,11,53.316,2.9,2.025,low
Greenwood Reservoir,628722.3088,2633132.239,MI,MI_STORET,52_1807,MI52_1807,8/12/80,1980,2.1,648,11,433.463,3.7,166.958,low
Little Shag Lake,656274.6684,2614893.832,MI,MI_STORET,52_259,MI52_259,8/11/80,1980,1.5,335,1,43.137,5.5,2.655,low
Shag Lake,655300.7027,2615129.065,MI,MI_STORET,52_291,MI52_291,8/11/80,1980,3.4,353,9,78.871,4.6,2.645,low
Pike Lake,650194.7183,2615328.989,MI,MI_STORET,52_297,MI52_297,8/29/78,1978,5.6,403,9,36.457,3.7,12.867,low
Bass Lake,648789.0802,2614777.662,MI,MI_STORET,52_305,MI52_305,8/8/81,1981,10,324,8,30.757,9.9,0.214,low
Squaw Lake,611954.3289,2615816.029,MI,MI_STORET,52_623,MI52_623,8/26/75,1975,1.5,111,1,99.996,8.2,2.807,low
Horseshoe Lake,613744.9474,2613736.709,MI,MI_STORET,52_661,MI52_661,8/13/80,1980,10,530,14,52.429,2.6,9.505,low
Witch Lake,616659.2717,2613685.706,MI,MI_STORET,52_666,MI52_666,8/26/75,1975,3.5,224,8,83.186,7.3,10.486,low
Ford Lake,787342.524,2380159.414,MI,MI_STORET,53_135,MI53_135,9/13/88,1988,7,352,7,73.575,10.8,2.696,low
Hamlin Lake,762724.1029,2381090.078,MI,MI_STORET,53_155,MI53_155,8/26/81,1981,3.7,413,19,1880.491,4.5,437.817,low
Pretty Lake,862228.3327,2349306.095,MI,MI_STORET,54_118,MI54_118,8/24/81,1981,3.9,571,15,47.255,3.4,1.888,low
Hillsview Lake,850934.0905,2350015.058,MI,MI_STORET,54_151,MI54_151,8/25/76,1976,7.4,891,25,39.906,3.5,20.127,low
Goose Lake,853143.022,2422309.707,MI,MI_STORET,57_102,MI57_102,8/18/81,1981,4,906,22,39.436,1.2,17.718,low
Long Lake,852139.5157,2421805.468,MI,MI_STORET,57_104,MI57_104,8/18/81,1981,5.8,714,22,26.871,1.9,15.828,low
Avalon Lake,944422.9537,2517187.785,MI,MI_STORET,60_162,MI60_162,9/14/78,1978,0.9,273,2,156.24,10.6,2.416,low
Long Lake,942565.5906,2519860.79,MI,MI_STORET,60_166,MI60_166,9/14/78,1978,1,307,2,113.102,6.8,3.964,low
Ess Lake,942199.0991,2517929.644,MI,MI_DNR_ST,60_167,MI60_167,,2003,1.2,564,5,47.958,5.1,1.577,low
East Twin Lake,919975.5472,2487746.865,MI,MI_DNR_ST,60_21,MI60_21,,2002,4,808,18,332.025,2,12.112,low
Rush Lake,933560.5233,2517764.048,MI,MI_STORET,60_223,MI60_223,8/18/80,1980,0.66,444,13,172.041,2.2,37.746,low
Avery Lake,928547.1697,2495821.211,MI,MI_STORET,60_29,MI60_29,9/13/78,1978,1.1,232,5,117.614,8.9,28.736,low
Gaylanta Lake,919030.7853,2499492.488,MI,MI_DNR_ST,60_71,MI60_71,,2003,5.5,956,21,45.273,3.5,1.196,low
McCormick Lake,923604.8824,2498286.831,MI,MI_DNR_ST,60_74,MI60_74,,2004,1.1,199,4,40.764,12.8,48.678,low
Big Blue Lake,787403.8306,2314105.441,MI,MI_STORET,61_144,MI61_144,9/1/81,1981,2.2,391,13,135.758,3.8,8.339,low
Nichols Lake,808448.3084,2346352.438,MI,MI_DNR_ST,62_358,MI62_358,,2003,3.2,503,6,62.404,4.9,1.61,low
School Section Lake,792314.7079,2350929.47,MI,MI_STORET,64_203,MI64_203,9/10/80,1980,3.6,642,8,75.776,3.4,2.318,low
Clear Lake,928319.015,2436846.728,MI,MI_STORET,65_104,MI65_104,9/5/78,1978,3.9,411,8,82.671,3.5,0.879,low
County Line Lake,518665.1301,2612181.033,MI,MI_STORET,66_222,MI66_222,8/11/80,1980,2,326,8,28.278,5.4,0.963,low
Sunrise Lake,850787.5958,2385505.209,MI,MI_STORET,67_226,MI67_226,8/24/81,1981,0.89,410,10,31.136,7.5,4.475,low
Big Bear Lake,913179.4804,2494804.604,MI,MI_DNR_ST,69_1,MI69_1,,2002,4,315,9,139.021,4.7,3.053,low
Dixon Lake,892916.8141,2498581.771,MI,MI_DNR_ST,69_185,MI69_185,,2002,3,309,8,31.64,4.1,6.653,low
Big Bass Lake,903689.3796,2492577.557,MI,MI_STORET,69_39,MI69_39,9/1/81,1981,2,685,9,26.034,3.5,4.014,low
Emerald Lake,895945.9618,2492804.082,MI,MI_STORET,69_46,MI69_46,9/1/81,1981,3.1,353,7,20.292,3,55.696,low
Prickett Dam,560644.2129,2655808.07,MI,MI_STORET,7_843,MI7_843,8/9/80,1980,6.5,604,30,310.333,5.67,877.986,low
Lost Lake,940975.7511,2538005.636,MI,MI_STORET,71_115,MI71_115,8/19/80,1980,2.8,812,11,41.454,1.5,4.577,low
Lake Emma,939860.0014,2533317.367,MI,MI_STORET,71_52,MI71_52,8/16/81,1981,1.7,453,11,80.35,1,39.507,low
Higgins Lake,893031.1535,2441554.155,MI,MI_STORET,72_117,MI72_117,8/29/77,1977,0.6,209,14,4123.667,16.1,75.061,low
Gemini Lakes,745135.4036,2649143.743,MI,MI_STORET,75_1048,MI75_1048,8/18/81,1981,3.1,372,14,50.843,2.7,2.265,low
Dodge Lake,752194.1751,2607905.256,MI,MI_DNR_ST,75_297,MI75_297,,2004,1,440,15,34.45,6.6,3.598,low
Island Lake,751308.1097,2608215.656,MI,MI_STORET,75_298,MI75_298,8/22/77,1977,3.6,304,3,41.913,5.2,2.051,low
Colwell Lake,737647.1764,2618821.686,MI,MI_STORET,75_423,MI75_423,8/17/81,1981,1.8,435,11,51.953,4.6,0.443,low
Petes Lake,725494.3107,2617929.716,MI,MI_STORET,75_474,MI75_474,8/17/81,1981,1.2,318,14,78.064,4.1,1.983,low
Boot Lake,736757.9179,2623728.475,MI,MI_DNR_ST,75_742,MI75_742,,2004,1.3,518,4,42.969,3.6,0.738,low
Snyder Lake,772612.2676,2651718.584,MI,MI_STORET,75_917,MI75_917,8/18/81,1981,1.7,255,11,24.472,1.9,9.422,low
Mill Lake,972645.8142,2208649.157,MI,MI_STORET,81_144,MI81_144,9/24/80,1980,4.2,763,9,53.032,1.7,8.872,low
